x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
1.0,2.0,3.0,4.0,5.0,6.0,1
0.0934,-0.1225,0.7399,37.8049,-152.7439,-26.8902,1
0.1689,-0.0379,0.9245,45.06100000000001,-147.9878,-25.7317,1
0.2049,0.0226,1.0523,53.5366,-134.3902,-27.1341,1
0.2417,0.017,1.129,53.2317,-117.6829,-25.9146,1
0.2606,0.015,1.1777,48.8415,-99.8171,-22.439,1
0.2338,0.0209,1.2001,44.4512,-82.0122,-20.9146,1
0.1693,0.009000000000000001,1.1554,38.3537,-68.8415,-20.9756,1
0.1021,-0.0305,1.0869,29.7561,-64.6341,-20.0,1
0.0847,-0.0479,1.0269,23.1707,-69.6951,-17.9268,1
0.1165,-0.0522,0.9886,18.2317,-81.2805,-14.8171,1
0.1627,-0.0618,0.9756,13.2317,-95.061,-12.6829,1
0.2201,-0.0649,0.978,8.4756,-106.7073,-10.7927,1
0.2545,-0.0837,0.9856,2.8659,-113.5976,-8.7805,1
0.2858,-0.1234,0.9894,-3.9024,-115.9756,-6.8293,1
0.3243,-0.1595,0.9987,-8.6585,-115.061,-5.4268,1
0.3536,-0.1859,0.9985,-10.3659,-110.9756,-4.6341,1
0.3727,-0.2128,1.0029,-10.8537,-104.2683,-5.0,1
0.38799999999999996,-0.2377,1.0018,-10.9146,-96.0976,-6.0366,1
0.3953,-0.2625,1.0021,-10.122,-86.4634,-7.7439,1
0.4029,-0.2732,0.9824,-7.9878,-74.2073,-10.2439,1
0.4139,-0.2768,0.96,-5.5488,-59.93899999999999,-12.561,1
0.4406,-0.2723,0.9632,-3.2317,-44.5122,-15.122,1
0.4502,-0.2434,0.9719,-0.3049,-27.9268,-18.1707,1
0.4382,-0.2216,0.9822,1.5854,-12.2561,-21.6463,1
0.4308,-0.2169,0.9867,1.4024,0.9756,-24.7561,1
0.4193,-0.233,0.9786,1.0976,10.4878,-26.9512,1
0.4008,-0.2609,0.9872,-0.061,16.2805,-29.5122,1
0.3772,-0.2712,0.9968,-0.7927,17.8659,-29.7561,1
0.3586,-0.2628,0.9908,-1.6463,13.5366,-29.2073,1
0.3683,-0.2377,0.9932,-1.8293,4.1463,-28.7805,1
0.3858,-0.2021,0.9918,-0.6098,-8.5366,-26.7683,1
0.4003,-0.1686,0.9747,0.6098,-21.5854,-23.8415,1
0.4107,-0.1366,0.9481,1.7683,-31.7073,-20.4878,1
0.42,-0.107,0.9153,2.6829,-37.439,-15.9756,1
0.4525,-0.091,0.8951,2.378,-39.3293,-11.3415,1
0.4665,-0.0689,0.8948,1.4024,-38.9024,-7.8659,1
0.4572,-0.0421,0.888,0.7317,-36.2805,-5.122000000000001,1
0.433,-0.0276,0.8863,-0.9756,-30.3049,-4.0244,1
0.4045,-0.0124,0.9047,-2.8659,-22.1341,-3.2317,1
0.3867,0.0068,0.9312,-4.5732,-13.3537,-2.0122,1
0.3662,0.0182,0.9355,-6.6463,-5.6098,-1.0976,1
0.3481,0.0154,0.9318,-8.9024,-0.061,-1.2195,1
0.3405,0.015,0.9363,-10.6098,2.8049,-1.8902,1
0.3408,0.012,0.9402,-11.0976,2.1951,-2.8659,1
0.355,0.0032,0.9479,-10.5488,-0.7317,-4.4512,1
0.3634,-0.0044,0.9686,-9.2073,-2.6829,-6.4634,1
0.361,-0.011000000000000001,0.9846,-7.8049,-1.6463,-7.8049,1
0.3519,-0.0197,1.0008,-7.0732,0.9756,-8.5366,1
0.3365,-0.0186,1.0038,-6.3415,3.2927,-9.3293,1
0.3377,-0.0267,0.9956,-6.5244,4.6951,-10.1829,1
0.3495,-0.0366,0.9921,-7.8049,5.1829,-11.0976,1
0.3499,-0.0518,0.9865,-8.3537,5.1829,-11.4634,1
0.3534,-0.0773,1.0001,-9.3293,4.5732,-11.7073,1
0.3586,-0.0998,1.0015,-9.5122,3.8415,-12.439,1
0.3574,-0.1257,0.9818,-10.1829,2.622,-13.4146,1
0.3541,-0.16699999999999998,0.9666,-10.5488,1.4024,-14.6341,1
0.363,-0.1811,0.9811,-9.8171,0.6707,-15.7927,1
0.3811,-0.2012,0.9586,-7.6829,0.7317,-17.378,1
0.4164,-0.2398,0.9575,-7.8659,1.0976,-18.9634,1
0.4443,-0.2643,0.9725,-5.9756,7.0732,-19.7561,1
0.4478,-0.2806,1.003,-4.2683,16.7073,-19.939,1
0.43200000000000005,-0.3017,1.0277,-3.0488,25.6707,-20.2439,1
0.4097,-0.3123,1.0132,-2.3171,30.4268,-20.4878,1
0.3923,-0.3266,0.9805,-1.8902,30.4268,-20.0,1
