x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.0671,-0.052000000000000005,0.0955,-4.2073,1.7683,-21.3415,1
0.0601,-0.0527,0.0966,-4.1463,-7.2561,-21.4024,1
0.0571,-0.051,0.095,-0.9146,-6.2805,-22.0122,1
0.059000000000000004,-0.0516,0.0954,-0.4878,-3.7805,-22.1951,1
0.0622,-0.0497,0.0983,-0.6098,-4.0244,-21.3415,1
0.0692,-0.0465,0.1039,-1.2195,-6.5854,-21.7073,1
0.0745,-0.0435,0.1077,-3.7195,-6.5244,-21.2195,1
0.0814,-0.045,0.1077,-6.2805,-4.5732,-20.5488,1
0.0842,-0.047,0.1053,-8.2927,-0.4878,-18.6585,1
0.0831,-0.0472,0.1022,-9.2683,5.1829,-16.0366,1
0.0848,-0.0458,0.0994,-9.939,10.8537,-13.1707,1
0.0883,-0.0427,0.0986,-10.061,12.9878,-10.4268,1
0.0914,-0.0412,0.0952,-11.0366,13.5976,-6.4634,1
0.087,-0.0392,0.0905,-11.7073,12.0732,-0.7927,1
0.0803,-0.0358,0.0889,-11.2195,7.5,4.5122,1
0.0883,-0.0341,0.0901,-12.561,-2.1951,10.6098,1
0.0961,-0.0382,0.0925,-16.7683,-13.8415,19.0854,1
0.0953,-0.0433,0.0927,-17.6829,-18.3537,27.378,1
0.0917,-0.0461,0.09,-15.6707,-16.5244,33.8415,1
0.0845,-0.0482,0.0884,-13.5366,-14.5122,39.3293,1
0.0815,-0.0491,0.0884,-12.0122,-15.4268,43.1707,1
0.0775,-0.0495,0.086,-10.8537,-18.1707,46.7683,1
0.0714,-0.0504,0.0842,-8.5976,-23.1098,50.1829,1
0.0682,-0.0497,0.0819,-5.6707,-30.5488,52.2561,1
0.0679,-0.0491,0.0804,-4.6341,-42.6829,54.3293,1
0.0697,-0.051,0.0821,-3.9634,-56.4634,56.6463,1
0.0743,-0.0549,0.0811,-2.0732,-69.2073,58.9024,1
0.0714,-0.0551,0.0759,1.1585,-78.5976,60.9756,1
0.0673,-0.0547,0.0756,7.7439,-80.4268,62.1951,1
0.0678,-0.0568,0.0797,13.5976,-73.5976,62.43899999999999,1
0.0715,-0.0588,0.0868,18.0488,-66.8293,62.0732,1
0.0758,-0.0596,0.0905,22.0122,-62.1341,60.3659,1
0.0721,-0.0588,0.0909,24.6951,-58.4756,60.7927,1
0.0635,-0.0599,0.0909,26.5854,-56.3415,62.0122,1
0.0592,-0.0623,0.0914,28.2927,-55.7927,60.8537,1
0.0602,-0.0627,0.0921,28.9024,-57.1341,58.7805,1
0.06,-0.0618,0.0896,28.3537,-59.2073,56.8293,1
0.0553,-0.0615,0.0882,28.9024,-62.3171,54.0854,1
0.0536,-0.0636,0.0906,30.6707,-66.7073,51.4024,1
0.0552,-0.0644,0.0933,32.1341,-70.8537,48.9634,1
0.0521,-0.0629,0.0899,33.1707,-73.7805,46.3415,1
0.0482,-0.0621,0.0881,34.5122,-76.5244,42.622,1
0.052000000000000005,-0.0624,0.0905,35.6707,-79.4512,37.561,1
0.0558,-0.061,0.0916,35.6098,-80.3049,33.2927,1
0.054000000000000006,-0.0594,0.0904,36.0976,-77.3781,29.3902,1
0.0513,-0.0583,0.0925,37.378,-71.8293,24.1463,1
0.0564,-0.0563,0.09699999999999999,37.9878,-66.3415,18.7195,1
0.0624,-0.0538,0.1011,35.4268,-60.2439,15.122,1
0.0641,-0.0524,0.1043,32.8049,-52.8049,11.8293,1
0.069,-0.0513,0.1046,30.9146,-43.5976,7.0122,1
0.0748,-0.0498,0.1052,29.6341,-35.4268,2.9878,1
0.0758,-0.0515,0.1058,26.2195,-28.4756,1.2805,1
0.0742,-0.053,0.1059,23.5976,-21.0366,-0.8537,1
0.0731,-0.0536,0.1055,21.5854,-14.3293,-3.1098,1
0.0758,-0.0544,0.1047,19.3902,-10.5488,-4.8171,1
0.0758,-0.0529,0.1014,17.0732,-9.8171,-6.4024,1
0.0709,-0.0516,0.0947,15.7927,-10.3049,-8.2927,1
0.0683,-0.0519,0.0909,14.0854,-12.1341,-10.3049,1
0.0695,-0.0538,0.0899,10.9756,-15.6098,-11.1585,1
0.0731,-0.0549,0.0913,8.6585,-20.2439,-12.9268,1
0.0778,-0.0538,0.0909,6.7073,-24.3902,-15.4878,1
0.0807,-0.0522,0.0908,4.878,-27.378,-14.3902,1
0.0837,-0.0536,0.092,3.6585,-29.3902,-13.4756,1
0.08800000000000001,-0.0549,0.0958,2.439,-29.1463,-14.3902,1
0.0934,-0.0544,0.0975,1.5854,-24.6341,-14.8171,1
0.091,-0.0522,0.0963,0.6707,-17.1951,-13.5976,1
0.0854,-0.0516,0.0933,1.0366,-10.2439,-12.5,1
0.0825,-0.0523,0.0901,0.3049,-5.9146,-12.1951,1
0.0817,-0.053,0.0863,-1.3415,-4.939,-11.7683,1
0.0806,-0.0531,0.0829,-2.6829,-5.9756,-11.8902,1
0.0817,-0.0525,0.0814,-3.8415,-8.2317,-11.5854,1
0.0853,-0.0519,0.0824,-6.0366,-11.7073,-10.6098,1
0.0909,-0.0526,0.0839,-8.5366,-14.878,-9.939,1
0.0932,-0.0527,0.0847,-10.2439,-15.7927,-9.3902,1
0.0903,-0.0521,0.0842,-10.7317,-14.5732,-8.7195,1
0.0878,-0.0519,0.0847,-10.8537,-12.561,-8.4756,1
0.0884,-0.0519,0.0843,-11.4634,-11.5244,-8.5976,1
0.0889,-0.0519,0.0818,-12.7439,-11.4024,-7.9878,1
0.0883,-0.053,0.0809,-13.1707,-11.5854,-7.5,1
0.0902,-0.0537,0.0809,-13.5366,-11.3415,-7.561,1
0.0941,-0.053,0.0825,-14.5732,-10.1829,-7.377999999999999,1
0.0977,-0.0521,0.084,-15.6098,-8.1098,-7.0122,1
0.0993,-0.05,0.0841,-15.9146,-4.6951,-6.5854,1
0.0987,-0.0493,0.084,-15.7927,-1.4634,-5.6098,1
0.09699999999999999,-0.049,0.0842,-16.0976,-0.6098,-4.5732,1
0.094,-0.048,0.0825,-17.0122,-1.8293,-3.4756,1
0.09,-0.0471,0.0803,-17.9268,-4.878,-2.2561,1
0.0888,-0.0467,0.0787,-19.1463,-10.2439,-1.4634,1
0.0891,-0.0464,0.0775,-21.0366,-16.7683,-0.9146,1
0.0881,-0.0472,0.0754,-22.8659,-22.6829,-0.7317,1
0.0859,-0.0482,0.0735,-23.3537,-24.6951,-0.9756,1
0.0831,-0.0491,0.0707,-22.7439,-24.0854,-1.5854,1
0.081,-0.0499,0.0691,-22.1951,-23.2927,-2.3171,1
0.0829,-0.0521,0.0685,-21.7683,-23.5366,-3.8415,1
0.0861,-0.0539,0.0672,-22.0732,-23.5366,-5.3659,1
0.0864,-0.0552,0.0646,-21.6463,-22.0732,-6.2805,1
0.081,-0.0567,0.0606,-20.061,-19.878,-7.9878,1
0.0759,-0.0577,0.057,-17.1951,-19.5122,-10.3659,1
0.0764,-0.0601,0.0547,-15.7927,-22.561,-12.9268,1
0.0779,-0.062,0.0532,-15.7317,-28.9634,-15.0,1
0.0814,-0.0639,0.0533,-15.061,-36.7073,-16.9512,1
0.0894,-0.0649,0.0563,-13.0488,-43.7805,-19.3293,1
0.1008,-0.0664,0.0581,-12.5,-50.06100000000001,-20.7927,1
0.10300000000000001,-0.0681,0.059000000000000004,-13.7805,-49.8781,-20.3659,1
0.0948,-0.0679,0.0579,-9.939,-39.878,-19.939,1
0.0862,-0.0684,0.0559,-4.3293,-27.6829,-21.0976,1
0.0865,-0.0715,0.0573,-1.3415,-22.561,-22.6829,1
0.0934,-0.0734,0.0609,-0.7927,-21.9512,-23.0488,1
