epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567420569760,2019-09-02T03:36:09.760,0.000,-0.696,0.077,0.683
1567420569760,2019-09-02T03:36:09.760,0.000,-0.691,0.068,0.682
1567420569760,2019-09-02T03:36:09.760,0.000,-0.699,0.057,0.690
1567420569916,2019-09-02T03:36:09.916,0.156,-0.706,0.052,0.685
1567420569916,2019-09-02T03:36:09.916,0.156,-0.708,0.052,0.680
1567420569916,2019-09-02T03:36:09.916,0.156,-0.690,0.053,0.676
1567420569983,2019-09-02T03:36:09.983,0.223,-0.700,0.055,0.687
1567420569983,2019-09-02T03:36:09.983,0.223,-0.688,0.055,0.686
1567420569983,2019-09-02T03:36:09.983,0.223,-0.709,0.058,0.684
1567420570029,2019-09-02T03:36:10.029,0.269,-0.709,0.060,0.675
1567420570029,2019-09-02T03:36:10.029,0.269,-0.718,0.061,0.672
1567420570029,2019-09-02T03:36:10.029,0.269,-0.702,0.057,0.674
1567420570069,2019-09-02T03:36:10.069,0.309,-0.714,0.057,0.669
1567420570069,2019-09-02T03:36:10.069,0.309,-0.714,0.059,0.668
1567420570069,2019-09-02T03:36:10.069,0.309,-0.716,0.061,0.667
1567420570110,2019-09-02T03:36:10.110,0.350,-0.714,0.062,0.670
1567420570110,2019-09-02T03:36:10.110,0.350,-0.706,0.060,0.677
1567420570110,2019-09-02T03:36:10.110,0.350,-0.696,0.058,0.678
1567420570140,2019-09-02T03:36:10.140,0.380,-0.705,0.061,0.681
1567420570140,2019-09-02T03:36:10.140,0.380,-0.702,0.060,0.673
1567420570140,2019-09-02T03:36:10.140,0.380,-0.712,0.061,0.670
1567420570192,2019-09-02T03:36:10.192,0.432,-0.704,0.062,0.668
1567420570192,2019-09-02T03:36:10.192,0.432,-0.722,0.064,0.673
1567420570192,2019-09-02T03:36:10.192,0.432,-0.715,0.061,0.664
1567420570243,2019-09-02T03:36:10.243,0.483,-0.710,0.060,0.670
1567420570243,2019-09-02T03:36:10.243,0.483,-0.705,0.059,0.676
1567420570243,2019-09-02T03:36:10.243,0.483,-0.706,0.060,0.678
1567420570284,2019-09-02T03:36:10.284,0.524,-0.699,0.058,0.673
1567420570284,2019-09-02T03:36:10.284,0.524,-0.710,0.061,0.672
1567420570284,2019-09-02T03:36:10.284,0.524,-0.707,0.060,0.670
1567420570324,2019-09-02T03:36:10.324,0.564,-0.709,0.061,0.670
1567420570324,2019-09-02T03:36:10.324,0.564,-0.715,0.062,0.669
1567420570324,2019-09-02T03:36:10.324,0.564,-0.719,0.066,0.668
1567420570354,2019-09-02T03:36:10.354,0.594,-0.715,0.063,0.666
1567420570354,2019-09-02T03:36:10.354,0.594,-0.710,0.059,0.670
1567420570354,2019-09-02T03:36:10.354,0.594,-0.705,0.058,0.670
1567420570405,2019-09-02T03:36:10.405,0.645,-0.707,0.062,0.672
1567420570405,2019-09-02T03:36:10.405,0.645,-0.712,0.064,0.669
1567420570405,2019-09-02T03:36:10.405,0.645,-0.714,0.062,0.668
1567420570445,2019-09-02T03:36:10.445,0.685,-0.710,0.063,0.666
1567420570445,2019-09-02T03:36:10.445,0.685,-0.713,0.062,0.670
1567420570445,2019-09-02T03:36:10.445,0.685,-0.713,0.063,0.667
1567420570484,2019-09-02T03:36:10.484,0.724,-0.718,0.062,0.668
1567420570484,2019-09-02T03:36:10.484,0.724,-0.703,0.058,0.670
1567420570484,2019-09-02T03:36:10.484,0.724,-0.704,0.060,0.675
1567420570526,2019-09-02T03:36:10.526,0.766,-0.712,0.059,0.679
1567420570526,2019-09-02T03:36:10.526,0.766,-0.708,0.063,0.676
1567420570526,2019-09-02T03:36:10.526,0.766,-0.706,0.067,0.666
1567420570557,2019-09-02T03:36:10.557,0.797,-0.720,0.066,0.669
1567420570557,2019-09-02T03:36:10.557,0.797,-0.715,0.070,0.661
1567420570557,2019-09-02T03:36:10.557,0.797,-0.716,0.068,0.667
1567420570612,2019-09-02T03:36:10.612,0.852,-0.714,0.067,0.672
1567420570612,2019-09-02T03:36:10.612,0.852,-0.703,0.062,0.667
1567420570612,2019-09-02T03:36:10.612,0.852,-0.700,0.064,0.672
1567420570655,2019-09-02T03:36:10.655,0.895,-0.705,0.063,0.672
1567420570655,2019-09-02T03:36:10.655,0.895,-0.708,0.065,0.670
1567420570655,2019-09-02T03:36:10.655,0.895,-0.707,0.066,0.675
1567420570702,2019-09-02T03:36:10.702,0.942,-0.704,0.069,0.670
1567420570702,2019-09-02T03:36:10.702,0.942,-0.710,0.071,0.673
1567420570702,2019-09-02T03:36:10.702,0.942,-0.700,0.066,0.671
1567420570744,2019-09-02T03:36:10.744,0.984,-0.708,0.067,0.675
1567420570744,2019-09-02T03:36:10.744,0.984,-0.709,0.064,0.673
1567420570744,2019-09-02T03:36:10.744,0.984,-0.699,0.067,0.673
1567420570781,2019-09-02T03:36:10.781,1.021,-0.708,0.067,0.677
1567420570781,2019-09-02T03:36:10.781,1.021,-0.707,0.066,0.672
1567420570781,2019-09-02T03:36:10.781,1.021,-0.705,0.065,0.675
1567420570833,2019-09-02T03:36:10.833,1.073,-0.703,0.066,0.675
1567420570833,2019-09-02T03:36:10.833,1.073,-0.706,0.067,0.677
1567420570833,2019-09-02T03:36:10.833,1.073,-0.712,0.066,0.671
1567420570884,2019-09-02T03:36:10.884,1.124,-0.712,0.070,0.667
1567420570884,2019-09-02T03:36:10.884,1.124,-0.709,0.073,0.670
1567420570884,2019-09-02T03:36:10.884,1.124,-0.705,0.067,0.677
1567420570934,2019-09-02T03:36:10.934,1.174,-0.707,0.065,0.676
1567420570934,2019-09-02T03:36:10.934,1.174,-0.708,0.062,0.676
1567420570934,2019-09-02T03:36:10.934,1.174,-0.706,0.065,0.672
1567420570988,2019-09-02T03:36:10.988,1.228,-0.705,0.063,0.677
1567420570988,2019-09-02T03:36:10.988,1.228,-0.703,0.062,0.682
1567420570988,2019-09-02T03:36:10.988,1.228,-0.705,0.064,0.672
1567420571039,2019-09-02T03:36:11.039,1.279,-0.704,0.069,0.671
1567420571039,2019-09-02T03:36:11.039,1.279,-0.706,0.067,0.678
1567420571039,2019-09-02T03:36:11.039,1.279,-0.702,0.068,0.674
1567420571076,2019-09-02T03:36:11.076,1.316,-0.698,0.068,0.676
1567420571076,2019-09-02T03:36:11.076,1.316,-0.697,0.066,0.670
1567420571076,2019-09-02T03:36:11.076,1.316,-0.701,0.067,0.671
1567420571114,2019-09-02T03:36:11.114,1.354,-0.705,0.070,0.672
1567420571114,2019-09-02T03:36:11.114,1.354,-0.717,0.070,0.674
1567420571114,2019-09-02T03:36:11.114,1.354,-0.714,0.070,0.673
1567420571159,2019-09-02T03:36:11.159,1.399,-0.712,0.069,0.679
1567420571159,2019-09-02T03:36:11.159,1.399,-0.697,0.065,0.672
1567420571159,2019-09-02T03:36:11.159,1.399,-0.707,0.062,0.678
1567420571198,2019-09-02T03:36:11.198,1.438,-0.704,0.062,0.671
1567420571198,2019-09-02T03:36:11.198,1.438,-0.718,0.073,0.670
1567420571198,2019-09-02T03:36:11.198,1.438,-0.716,0.071,0.664
1567420571236,2019-09-02T03:36:11.236,1.476,-0.720,0.069,0.668
1567420571236,2019-09-02T03:36:11.236,1.476,-0.702,0.065,0.665
1567420571236,2019-09-02T03:36:11.236,1.476,-0.709,0.066,0.672
1567420571279,2019-09-02T03:36:11.279,1.519,-0.703,0.064,0.670
