epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567420569846,2019-09-02T03:36:09.846,0.000,-0.915,7.500,-1.524
1567420569846,2019-09-02T03:36:09.846,0.000,-1.707,7.012,-2.256
1567420569846,2019-09-02T03:36:09.846,0.000,-1.220,6.646,-1.890
1567420569956,2019-09-02T03:36:09.956,0.110,-0.854,6.037,-0.976
1567420569956,2019-09-02T03:36:09.956,0.110,-1.098,5.671,-0.122
1567420569956,2019-09-02T03:36:09.956,0.110,-0.488,6.159,0.244
1567420570007,2019-09-02T03:36:10.007,0.161,-0.122,6.829,0.305
1567420570007,2019-09-02T03:36:10.007,0.161,0.732,7.561,0.061
1567420570007,2019-09-02T03:36:10.007,0.161,1.037,6.280,-0.244
1567420570049,2019-09-02T03:36:10.049,0.203,1.098,4.634,-0.183
1567420570049,2019-09-02T03:36:10.049,0.203,0.610,2.988,-0.183
1567420570049,2019-09-02T03:36:10.049,0.203,0.976,3.659,0.061
1567420570089,2019-09-02T03:36:10.089,0.243,1.098,2.683,0.305
1567420570089,2019-09-02T03:36:10.089,0.243,1.098,1.768,0.366
1567420570089,2019-09-02T03:36:10.089,0.243,0.732,0.671,0.305
1567420570131,2019-09-02T03:36:10.131,0.285,0.305,-0.427,0.488
1567420570131,2019-09-02T03:36:10.131,0.285,0.427,-0.122,0.305
1567420570131,2019-09-02T03:36:10.131,0.285,0.549,0.549,0.305
1567420570171,2019-09-02T03:36:10.171,0.325,0.427,2.134,0.244
1567420570171,2019-09-02T03:36:10.171,0.325,0.366,2.561,0.244
1567420570171,2019-09-02T03:36:10.171,0.325,0.122,2.439,0.305
1567420570201,2019-09-02T03:36:10.201,0.355,0.183,2.561,0.122
1567420570201,2019-09-02T03:36:10.201,0.355,-0.427,1.524,0.000
1567420570201,2019-09-02T03:36:10.201,0.355,-0.732,0.061,0.305
1567420570252,2019-09-02T03:36:10.252,0.406,-0.610,-0.244,0.488
1567420570252,2019-09-02T03:36:10.252,0.406,-0.366,0.122,0.427
1567420570252,2019-09-02T03:36:10.252,0.406,-0.183,1.098,0.366
1567420570294,2019-09-02T03:36:10.294,0.448,0.061,1.585,0.549
1567420570294,2019-09-02T03:36:10.294,0.448,0.061,1.585,0.488
1567420570294,2019-09-02T03:36:10.294,0.448,0.366,2.134,0.610
1567420570334,2019-09-02T03:36:10.334,0.488,0.610,2.561,0.671
1567420570334,2019-09-02T03:36:10.334,0.488,0.366,2.134,0.732
1567420570334,2019-09-02T03:36:10.334,0.488,-0.183,0.793,0.488
1567420570364,2019-09-02T03:36:10.364,0.518,-0.366,0.061,0.305
1567420570364,2019-09-02T03:36:10.364,0.518,-0.244,0.061,0.427
1567420570364,2019-09-02T03:36:10.364,0.518,0.122,0.854,0.549
1567420570425,2019-09-02T03:36:10.425,0.579,0.305,1.402,0.427
1567420570425,2019-09-02T03:36:10.425,0.579,0.122,0.793,0.549
1567420570425,2019-09-02T03:36:10.425,0.579,-0.244,0.183,0.671
1567420570464,2019-09-02T03:36:10.464,0.618,-0.244,0.610,0.549
1567420570464,2019-09-02T03:36:10.464,0.618,-0.183,0.488,0.671
1567420570464,2019-09-02T03:36:10.464,0.618,-0.244,-0.244,0.610
1567420570504,2019-09-02T03:36:10.504,0.658,-0.549,-0.854,0.610
1567420570504,2019-09-02T03:36:10.504,0.658,-0.061,-0.366,0.732
1567420570504,2019-09-02T03:36:10.504,0.658,0.427,0.427,0.610
1567420570547,2019-09-02T03:36:10.547,0.701,1.037,0.793,1.159
1567420570547,2019-09-02T03:36:10.547,0.701,1.037,1.524,1.707
1567420570547,2019-09-02T03:36:10.547,0.701,0.976,1.037,1.220
1567420570566,2019-09-02T03:36:10.566,0.720,0.488,0.000,1.341
1567420570566,2019-09-02T03:36:10.566,0.720,-0.122,-1.159,1.341
1567420570566,2019-09-02T03:36:10.566,0.720,-0.732,-1.951,1.463
1567420570625,2019-09-02T03:36:10.625,0.779,-0.732,-2.134,1.280
1567420570625,2019-09-02T03:36:10.625,0.779,-0.244,-1.585,1.098
1567420570625,2019-09-02T03:36:10.625,0.779,0.305,-0.671,0.549
1567420570675,2019-09-02T03:36:10.675,0.829,0.488,-0.183,0.488
1567420570675,2019-09-02T03:36:10.675,0.829,0.488,-0.183,0.671
1567420570675,2019-09-02T03:36:10.675,0.829,0.244,-0.305,0.915
1567420570712,2019-09-02T03:36:10.712,0.866,0.122,-0.305,0.793
1567420570712,2019-09-02T03:36:10.712,0.866,-0.122,-0.061,0.305
1567420570712,2019-09-02T03:36:10.712,0.866,-0.122,0.244,0.244
1567420570759,2019-09-02T03:36:10.759,0.913,-0.122,0.244,0.183
1567420570759,2019-09-02T03:36:10.759,0.913,-0.183,0.122,0.122
1567420570759,2019-09-02T03:36:10.759,0.913,-0.122,0.366,-0.061
1567420570811,2019-09-02T03:36:10.811,0.965,-0.122,0.671,-0.122
