epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567418992223,2019-09-02T03:09:52.223,0.000,-0.844,0.086,0.474
1567418992223,2019-09-02T03:09:52.223,0.000,-0.837,0.081,0.485
1567418992223,2019-09-02T03:09:52.223,0.000,-0.843,0.083,0.477
1567418992327,2019-09-02T03:09:52.327,0.104,-0.842,0.083,0.475
1567418992327,2019-09-02T03:09:52.327,0.104,-0.851,0.088,0.468
1567418992327,2019-09-02T03:09:52.327,0.104,-0.854,0.089,0.467
1567418992362,2019-09-02T03:09:52.362,0.139,-0.840,0.076,0.480
1567418992362,2019-09-02T03:09:52.362,0.139,-0.844,0.079,0.476
1567418992362,2019-09-02T03:09:52.362,0.139,-0.842,0.084,0.477
1567418992405,2019-09-02T03:09:52.405,0.182,-0.840,0.083,0.479
1567418992405,2019-09-02T03:09:52.405,0.182,-0.852,0.088,0.472
1567418992405,2019-09-02T03:09:52.405,0.182,-0.847,0.088,0.473
1567418992442,2019-09-02T03:09:52.442,0.219,-0.839,0.083,0.482
1567418992442,2019-09-02T03:09:52.442,0.219,-0.841,0.085,0.478
1567418992442,2019-09-02T03:09:52.442,0.219,-0.844,0.084,0.479
1567418992477,2019-09-02T03:09:52.477,0.254,-0.845,0.085,0.473
1567418992477,2019-09-02T03:09:52.477,0.254,-0.851,0.088,0.467
1567418992477,2019-09-02T03:09:52.477,0.254,-0.843,0.089,0.483
1567418992515,2019-09-02T03:09:52.515,0.292,-0.841,0.086,0.480
1567418992515,2019-09-02T03:09:52.515,0.292,-0.840,0.079,0.475
1567418992515,2019-09-02T03:09:52.515,0.292,-0.844,0.080,0.477
1567418992559,2019-09-02T03:09:52.559,0.336,-0.849,0.090,0.469
1567418992559,2019-09-02T03:09:52.559,0.336,-0.846,0.091,0.475
1567418992559,2019-09-02T03:09:52.559,0.336,-0.844,0.081,0.480
1567418992597,2019-09-02T03:09:52.597,0.374,-0.848,0.082,0.476
1567418992597,2019-09-02T03:09:52.597,0.374,-0.833,0.081,0.487
1567418992597,2019-09-02T03:09:52.597,0.374,-0.837,0.082,0.488
1567418992634,2019-09-02T03:09:52.634,0.411,-0.850,0.082,0.472
1567418992634,2019-09-02T03:09:52.634,0.411,-0.860,0.082,0.461
1567418992634,2019-09-02T03:09:52.634,0.411,-0.841,0.082,0.475
1567418992670,2019-09-02T03:09:52.670,0.447,-0.841,0.085,0.490
1567418992670,2019-09-02T03:09:52.670,0.447,-0.835,0.077,0.493
1567418992670,2019-09-02T03:09:52.670,0.447,-0.836,0.072,0.491
1567418992705,2019-09-02T03:09:52.705,0.482,-0.848,0.076,0.477
1567418992705,2019-09-02T03:09:52.705,0.482,-0.844,0.081,0.477
1567418992705,2019-09-02T03:09:52.705,0.482,-0.842,0.078,0.481
1567418992741,2019-09-02T03:09:52.741,0.518,-0.833,0.066,0.501
1567418992741,2019-09-02T03:09:52.741,0.518,-0.842,0.063,0.501
1567418992741,2019-09-02T03:09:52.741,0.518,-0.851,0.070,0.485
1567418992787,2019-09-02T03:09:52.787,0.564,-0.819,0.063,0.512
1567418992787,2019-09-02T03:09:52.787,0.564,-0.836,0.050,0.556
1567418992787,2019-09-02T03:09:52.787,0.564,-0.838,0.057,0.525
1567418992822,2019-09-02T03:09:52.822,0.599,-0.846,0.066,0.466
1567418992822,2019-09-02T03:09:52.822,0.599,-0.853,0.061,0.448
1567418992822,2019-09-02T03:09:52.822,0.599,-0.932,0.047,0.494
1567418992869,2019-09-02T03:09:52.869,0.646,-0.924,0.009,0.479
1567418992869,2019-09-02T03:09:52.869,0.646,-0.833,0.042,0.402
1567418992869,2019-09-02T03:09:52.869,0.646,-0.755,0.104,0.349
1567418992904,2019-09-02T03:09:52.904,0.681,-0.855,0.179,0.318
1567418992904,2019-09-02T03:09:52.904,0.681,-0.943,0.189,0.317
1567418992904,2019-09-02T03:09:52.904,0.681,-0.952,0.188,0.286
1567418992949,2019-09-02T03:09:52.949,0.726,-0.908,0.153,0.241
1567418992949,2019-09-02T03:09:52.949,0.726,-0.894,0.128,0.227
1567418992949,2019-09-02T03:09:52.949,0.726,-0.876,0.106,0.298
1567418992986,2019-09-02T03:09:52.986,0.763,-0.882,0.083,0.409
1567418992986,2019-09-02T03:09:52.986,0.763,-0.942,0.081,0.406
1567418992986,2019-09-02T03:09:52.986,0.763,-0.982,0.073,0.335
1567418993040,2019-09-02T03:09:53.040,0.817,-0.935,0.066,0.368
1567418993040,2019-09-02T03:09:53.040,0.817,-0.925,0.076,0.470
1567418993040,2019-09-02T03:09:53.040,0.817,-1.003,0.090,0.409
1567418993099,2019-09-02T03:09:53.099,0.876,-1.013,0.003,0.260
1567418993099,2019-09-02T03:09:53.099,0.876,-1.089,-0.039,0.096
1567418993099,2019-09-02T03:09:53.099,0.876,-1.104,-0.050,0.016
1567418993143,2019-09-02T03:09:53.143,0.920,-1.037,-0.037,-0.001
1567418993143,2019-09-02T03:09:53.143,0.920,-1.028,0.038,-0.022
1567418993143,2019-09-02T03:09:53.143,0.920,-0.797,0.072,0.111
1567418993185,2019-09-02T03:09:53.185,0.962,-0.814,0.148,0.144
1567418993185,2019-09-02T03:09:53.185,0.962,-0.813,0.148,0.121
1567418993185,2019-09-02T03:09:53.185,0.962,-0.800,0.104,0.088
1567418993216,2019-09-02T03:09:53.216,0.993,-0.856,0.080,0.080
1567418993216,2019-09-02T03:09:53.216,0.993,-0.912,0.113,0.004
1567418993216,2019-09-02T03:09:53.216,0.993,-0.943,0.103,-0.076
1567418993276,2019-09-02T03:09:53.276,1.053,-0.955,0.065,-0.066
1567418993276,2019-09-02T03:09:53.276,1.053,-0.934,0.127,-0.112
1567418993276,2019-09-02T03:09:53.276,1.053,-0.992,0.213,-0.141
1567418993326,2019-09-02T03:09:53.326,1.103,-1.003,0.276,-0.144
1567418993326,2019-09-02T03:09:53.326,1.103,-0.967,0.271,-0.127
1567418993326,2019-09-02T03:09:53.326,1.103,-0.940,0.262,-0.077
