epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567419484728,2019-09-02T03:18:04.728,0.000,-2.622,3.415,0.671
1567419484728,2019-09-02T03:18:04.728,0.000,-4.146,-6.646,2.378
1567419484728,2019-09-02T03:18:04.728,0.000,-6.402,-23.720,1.524
1567419484831,2019-09-02T03:18:04.831,0.103,-9.329,-30.183,1.829
1567419484831,2019-09-02T03:18:04.831,0.103,-12.683,-25.549,4.634
1567419484831,2019-09-02T03:18:04.831,0.103,-10.976,-14.939,3.841
1567419484930,2019-09-02T03:18:04.930,0.202,-10.732,-12.317,0.854
1567419484930,2019-09-02T03:18:04.930,0.202,-13.110,-20.244,1.341
1567419484930,2019-09-02T03:18:04.930,0.202,-15.305,-29.024,0.549
1567419484981,2019-09-02T03:18:04.981,0.253,-16.768,-23.537,-0.793
1567419484981,2019-09-02T03:18:04.981,0.253,-18.232,-17.073,-2.378
1567419484981,2019-09-02T03:18:04.981,0.253,-18.537,-26.646,-2.378
1567419485027,2019-09-02T03:18:05.027,0.299,-20.610,-41.341,-1.402
1567419485027,2019-09-02T03:18:05.027,0.299,-17.500,-25.976,-1.524
1567419485027,2019-09-02T03:18:05.027,0.299,-15.183,-13.415,1.707
1567419485075,2019-09-02T03:18:05.075,0.347,-14.695,-8.293,2.744
1567419485075,2019-09-02T03:18:05.075,0.347,-12.134,-1.280,2.256
1567419485075,2019-09-02T03:18:05.075,0.347,-11.951,0.488,0.915
1567419485113,2019-09-02T03:18:05.113,0.385,-12.256,0.671,-1.463
1567419485113,2019-09-02T03:18:05.113,0.385,-10.061,1.829,-2.866
1567419485113,2019-09-02T03:18:05.113,0.385,-9.634,-1.646,-2.256
1567419485152,2019-09-02T03:18:05.152,0.424,-9.573,-3.354,-1.098
1567419485152,2019-09-02T03:18:05.152,0.424,-8.598,-1.646,1.098
1567419485152,2019-09-02T03:18:05.152,0.424,-6.890,-3.293,2.317
1567419485191,2019-09-02T03:18:05.191,0.463,-6.098,-6.220,-0.183
1567419485191,2019-09-02T03:18:05.191,0.463,-3.476,-2.988,-1.341
1567419485191,2019-09-02T03:18:05.191,0.463,-3.049,-7.744,0.488
1567419485219,2019-09-02T03:18:05.219,0.491,-3.659,-10.061,0.854
1567419485219,2019-09-02T03:18:05.219,0.491,-3.049,-7.683,-0.366
1567419485219,2019-09-02T03:18:05.219,0.491,-1.098,-7.683,-0.671
1567419485237,2019-09-02T03:18:05.237,0.509,1.463,-11.402,0.366
1567419485237,2019-09-02T03:18:05.237,0.509,0.061,-13.354,3.841
1567419485237,2019-09-02T03:18:05.237,0.509,-4.756,-10.793,6.037
