epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567420873607,2019-09-02T03:41:13.607,0.000,-0.379,-0.865,0.302
1567420873607,2019-09-02T03:41:13.607,0.000,-0.374,-0.867,0.298
1567420873607,2019-09-02T03:41:13.607,0.000,-0.375,-0.868,0.296
1567420873636,2019-09-02T03:41:13.636,0.029,-0.372,-0.866,0.294
1567420873636,2019-09-02T03:41:13.636,0.029,-0.369,-0.860,0.289
1567420873636,2019-09-02T03:41:13.636,0.029,-0.366,-0.852,0.284
1567420873669,2019-09-02T03:41:13.669,0.062,-0.362,-0.849,0.278
1567420873669,2019-09-02T03:41:13.669,0.062,-0.358,-0.844,0.275
1567420873669,2019-09-02T03:41:13.669,0.062,-0.352,-0.846,0.276
1567420873705,2019-09-02T03:41:13.705,0.098,-0.344,-0.855,0.276
1567420873705,2019-09-02T03:41:13.705,0.098,-0.343,-0.853,0.274
1567420873705,2019-09-02T03:41:13.705,0.098,-0.350,-0.836,0.273
1567420873723,2019-09-02T03:41:13.723,0.116,-0.356,-0.826,0.280
1567420873723,2019-09-02T03:41:13.723,0.116,-0.360,-0.817,0.288
1567420873723,2019-09-02T03:41:13.723,0.116,-0.359,-0.811,0.294
1567420873740,2019-09-02T03:41:13.740,0.133,-0.361,-0.804,0.291
1567420873740,2019-09-02T03:41:13.740,0.133,-0.363,-0.803,0.287
1567420873740,2019-09-02T03:41:13.740,0.133,-0.372,-0.807,0.284
1567420873762,2019-09-02T03:41:13.762,0.155,-0.378,-0.815,0.281
1567420873762,2019-09-02T03:41:13.762,0.155,-0.393,-0.828,0.287
1567420873762,2019-09-02T03:41:13.762,0.155,-0.405,-0.842,0.293
1567420873782,2019-09-02T03:41:13.782,0.175,-0.415,-0.855,0.297
1567420873782,2019-09-02T03:41:13.782,0.175,-0.422,-0.860,0.300
1567420873782,2019-09-02T03:41:13.782,0.175,-0.428,-0.859,0.303
1567420873802,2019-09-02T03:41:13.802,0.195,-0.440,-0.853,0.304
1567420873802,2019-09-02T03:41:13.802,0.195,-0.458,-0.853,0.313
1567420873802,2019-09-02T03:41:13.802,0.195,-0.475,-0.856,0.325
1567420873821,2019-09-02T03:41:13.821,0.214,-0.483,-0.858,0.334
1567420873821,2019-09-02T03:41:13.821,0.214,-0.485,-0.866,0.345
1567420873821,2019-09-02T03:41:13.821,0.214,-0.488,-0.873,0.354
1567420873844,2019-09-02T03:41:13.844,0.237,-0.482,-0.883,0.357
1567420873844,2019-09-02T03:41:13.844,0.237,-0.482,-0.891,0.352
1567420873844,2019-09-02T03:41:13.844,0.237,-0.486,-0.898,0.352
1567420873863,2019-09-02T03:41:13.863,0.256,-0.488,-0.901,0.353
1567420873863,2019-09-02T03:41:13.863,0.256,-0.490,-0.897,0.354
1567420873863,2019-09-02T03:41:13.863,0.256,-0.486,-0.890,0.349
1567420873919,2019-09-02T03:41:13.919,0.312,-0.483,-0.880,0.344
1567420873919,2019-09-02T03:41:13.919,0.312,-0.482,-0.874,0.340
1567420873919,2019-09-02T03:41:13.919,0.312,-0.490,-0.874,0.340
1567420873980,2019-09-02T03:41:13.980,0.373,-0.484,-0.875,0.347
1567420873980,2019-09-02T03:41:13.980,0.373,-0.470,-0.873,0.349
