epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567420873624,2019-09-02T03:41:13.624,0.000,24.329,25.183,18.049
1567420873624,2019-09-02T03:41:13.624,0.000,26.037,29.329,17.927
1567420873624,2019-09-02T03:41:13.624,0.000,27.012,33.171,17.988
1567420873660,2019-09-02T03:41:13.660,0.036,27.378,36.707,18.354
1567420873660,2019-09-02T03:41:13.660,0.036,27.317,39.451,18.841
1567420873660,2019-09-02T03:41:13.660,0.036,26.707,41.463,19.085
1567420873696,2019-09-02T03:41:13.696,0.072,25.854,42.561,18.963
1567420873696,2019-09-02T03:41:13.696,0.072,24.939,43.354,18.293
1567420873696,2019-09-02T03:41:13.696,0.072,24.329,44.939,16.463
1567420873715,2019-09-02T03:41:13.715,0.091,24.024,48.354,13.354
1567420873715,2019-09-02T03:41:13.715,0.091,23.537,51.037,9.268
1567420873715,2019-09-02T03:41:13.715,0.091,22.622,51.280,4.451
1567420873732,2019-09-02T03:41:13.732,0.108,21.524,50.061,-0.793
1567420873732,2019-09-02T03:41:13.732,0.108,20.488,48.537,-6.159
1567420873732,2019-09-02T03:41:13.732,0.108,19.329,46.890,-11.585
1567420873751,2019-09-02T03:41:13.751,0.127,18.049,45.366,-17.256
1567420873751,2019-09-02T03:41:13.751,0.127,16.829,43.963,-23.110
1567420873751,2019-09-02T03:41:13.751,0.127,15.000,42.012,-29.085
1567420873773,2019-09-02T03:41:13.773,0.149,13.049,39.695,-35.305
1567420873773,2019-09-02T03:41:13.773,0.149,10.671,36.829,-41.585
1567420873773,2019-09-02T03:41:13.773,0.149,7.927,33.720,-47.805
1567420873791,2019-09-02T03:41:13.791,0.167,4.756,30.366,-53.232
1567420873791,2019-09-02T03:41:13.791,0.167,1.341,27.073,-57.317
1567420873791,2019-09-02T03:41:13.791,0.167,-2.073,23.171,-60.244
1567420873811,2019-09-02T03:41:13.811,0.187,-5.671,17.500,-62.134
1567420873811,2019-09-02T03:41:13.811,0.187,-9.329,9.817,-62.988
1567420873811,2019-09-02T03:41:13.811,0.187,-12.683,0.610,-63.049
1567420873836,2019-09-02T03:41:13.836,0.212,-14.817,-7.378,-61.585
1567420873836,2019-09-02T03:41:13.836,0.212,-15.549,-12.195,-58.598
1567420873836,2019-09-02T03:41:13.836,0.212,-15.122,-14.268,-54.390
1567420873853,2019-09-02T03:41:13.853,0.229,-13.841,-13.902,-48.902
1567420873853,2019-09-02T03:41:13.853,0.229,-12.378,-12.439,-42.439
1567420873853,2019-09-02T03:41:13.853,0.229,-10.671,-10.610,-35.061
1567420873871,2019-09-02T03:41:13.871,0.247,-8.659,-7.988,-27.134
1567420873871,2019-09-02T03:41:13.871,0.247,-6.707,-5.732,-18.780
1567420873871,2019-09-02T03:41:13.871,0.247,-4.634,-3.720,-10.061
1567420873935,2019-09-02T03:41:13.935,0.311,-2.683,-2.866,-1.829
1567420873935,2019-09-02T03:41:13.935,0.311,-1.037,-3.780,5.671
1567420873935,2019-09-02T03:41:13.935,0.311,0.183,-5.854,12.378
1567420873992,2019-09-02T03:41:13.992,0.368,1.280,-7.561,18.171
1567420873992,2019-09-02T03:41:13.992,0.368,2.805,-8.415,23.415
1567420873992,2019-09-02T03:41:13.992,0.368,4.573,-8.415,28.232
1567420874048,2019-09-02T03:41:14.048,0.424,6.341,-8.354,32.561
1567420874048,2019-09-02T03:41:14.048,0.424,7.866,-8.232,36.646
1567420874048,2019-09-02T03:41:14.048,0.424,9.390,-7.439,40.305
1567420874108,2019-09-02T03:41:14.108,0.484,11.098,-5.671,43.537
1567420874108,2019-09-02T03:41:14.108,0.484,12.500,-3.171,46.220
1567420874108,2019-09-02T03:41:14.108,0.484,13.354,-1.037,48.110
1567420874170,2019-09-02T03:41:14.170,0.546,13.232,0.610,49.146
1567420874170,2019-09-02T03:41:14.170,0.546,12.317,1.341,49.634
1567420874170,2019-09-02T03:41:14.170,0.546,10.793,0.854,49.207
1567420874236,2019-09-02T03:41:14.236,0.612,8.415,-0.610,47.683
1567420874236,2019-09-02T03:41:14.236,0.612,5.244,-4.085,45.122
1567420874236,2019-09-02T03:41:14.236,0.612,1.951,-9.939,41.768
