epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567421179946,2019-09-02T03:46:19.946,0.000,-1.023,0.010,0.015
1567421179946,2019-09-02T03:46:19.946,0.000,-1.017,0.012,0.020
1567421179946,2019-09-02T03:46:19.946,0.000,-1.020,0.009,0.030
1567421179998,2019-09-02T03:46:19.998,0.052,-1.020,0.005,0.031
1567421179998,2019-09-02T03:46:19.998,0.052,-1.015,0.007,0.036
1567421179998,2019-09-02T03:46:19.998,0.052,-1.017,0.003,0.039
1567421180018,2019-09-02T03:46:20.018,0.072,-1.018,0.006,0.036
1567421180018,2019-09-02T03:46:20.018,0.072,-1.015,0.008,0.029
1567421180018,2019-09-02T03:46:20.018,0.072,-1.018,0.011,0.026
1567421180055,2019-09-02T03:46:20.055,0.109,-1.020,0.013,0.018
1567421180055,2019-09-02T03:46:20.055,0.109,-1.020,0.012,0.014
1567421180055,2019-09-02T03:46:20.055,0.109,-1.019,0.012,0.021
1567421180074,2019-09-02T03:46:20.074,0.128,-1.018,0.009,0.025
1567421180074,2019-09-02T03:46:20.074,0.128,-1.016,0.009,0.033
1567421180074,2019-09-02T03:46:20.074,0.128,-1.015,0.004,0.036
1567421180093,2019-09-02T03:46:20.093,0.147,-1.013,0.004,0.035
1567421180093,2019-09-02T03:46:20.093,0.147,-1.019,0.006,0.035
1567421180093,2019-09-02T03:46:20.093,0.147,-1.018,0.007,0.032
1567421180116,2019-09-02T03:46:20.116,0.170,-1.015,0.013,0.024
1567421180116,2019-09-02T03:46:20.116,0.170,-1.020,0.013,0.018
1567421180116,2019-09-02T03:46:20.116,0.170,-1.024,0.013,0.015
1567421180151,2019-09-02T03:46:20.151,0.205,-1.015,0.011,0.016
1567421180151,2019-09-02T03:46:20.151,0.205,-1.022,0.012,0.021
1567421180151,2019-09-02T03:46:20.151,0.205,-1.015,0.008,0.031
1567421180180,2019-09-02T03:46:20.180,0.234,-1.021,0.004,0.036
1567421180180,2019-09-02T03:46:20.180,0.234,-1.016,0.000,0.043
1567421180180,2019-09-02T03:46:20.180,0.234,-1.009,0.004,0.043
1567421180205,2019-09-02T03:46:20.205,0.259,-1.014,0.008,0.033
1567421180205,2019-09-02T03:46:20.205,0.259,-1.021,0.012,0.017
1567421180205,2019-09-02T03:46:20.205,0.259,-1.018,0.016,0.011
1567421180235,2019-09-02T03:46:20.235,0.289,-1.021,0.015,0.011
1567421180235,2019-09-02T03:46:20.235,0.289,-1.020,0.012,0.016
1567421180235,2019-09-02T03:46:20.235,0.289,-1.017,0.009,0.027
1567421180252,2019-09-02T03:46:20.252,0.306,-1.014,0.004,0.042
1567421180252,2019-09-02T03:46:20.252,0.306,-1.015,0.002,0.045
1567421180252,2019-09-02T03:46:20.252,0.306,-1.014,0.003,0.038
1567421180270,2019-09-02T03:46:20.270,0.324,-1.021,0.006,0.033
1567421180270,2019-09-02T03:46:20.270,0.324,-1.018,0.010,0.029
1567421180270,2019-09-02T03:46:20.270,0.324,-1.019,0.013,0.020
1567421180294,2019-09-02T03:46:20.294,0.348,-1.019,0.017,0.018
1567421180294,2019-09-02T03:46:20.294,0.348,-1.018,0.015,0.017
1567421180294,2019-09-02T03:46:20.294,0.348,-1.022,0.012,0.017
1567421180354,2019-09-02T03:46:20.354,0.408,-1.020,0.007,0.027
1567421180354,2019-09-02T03:46:20.354,0.408,-1.014,0.004,0.041
1567421180354,2019-09-02T03:46:20.354,0.408,-1.015,0.000,0.042
1567421180415,2019-09-02T03:46:20.415,0.469,-1.012,0.005,0.042
1567421180415,2019-09-02T03:46:20.415,0.469,-1.021,0.007,0.031
1567421180415,2019-09-02T03:46:20.415,0.469,-1.020,0.009,0.021
1567421180482,2019-09-02T03:46:20.482,0.536,-1.018,0.010,0.021
