epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567421179986,2019-09-02T03:46:19.986,0.000,-0.427,-1.402,0.305
1567421179986,2019-09-02T03:46:19.986,0.000,-0.671,-1.463,0.427
1567421179986,2019-09-02T03:46:19.986,0.000,-0.610,-0.915,0.366
1567421180008,2019-09-02T03:46:20.008,0.022,-0.671,-1.341,0.305
1567421180008,2019-09-02T03:46:20.008,0.022,-0.549,-1.341,0.305
1567421180008,2019-09-02T03:46:20.008,0.022,-0.366,-0.976,0.366
1567421180027,2019-09-02T03:46:20.027,0.041,-0.183,-0.915,0.305
1567421180027,2019-09-02T03:46:20.027,0.041,0.061,-0.793,0.366
1567421180027,2019-09-02T03:46:20.027,0.041,0.061,-0.305,0.366
1567421180065,2019-09-02T03:46:20.065,0.079,-0.183,-0.366,0.366
1567421180065,2019-09-02T03:46:20.065,0.079,-0.366,-1.037,0.305
1567421180065,2019-09-02T03:46:20.065,0.079,-0.671,-1.463,0.305
1567421180084,2019-09-02T03:46:20.084,0.098,-0.671,-1.585,0.366
1567421180084,2019-09-02T03:46:20.084,0.098,-0.488,-1.402,0.366
1567421180084,2019-09-02T03:46:20.084,0.098,-0.183,-0.915,0.305
1567421180103,2019-09-02T03:46:20.103,0.117,-0.061,-0.671,0.305
1567421180103,2019-09-02T03:46:20.103,0.117,0.061,-0.610,0.366
1567421180103,2019-09-02T03:46:20.103,0.117,-0.061,-0.671,0.305
1567421180127,2019-09-02T03:46:20.127,0.141,-0.122,-0.671,0.244
1567421180127,2019-09-02T03:46:20.127,0.141,-0.122,-0.488,0.244
1567421180127,2019-09-02T03:46:20.127,0.141,-0.244,-1.098,0.305
1567421180165,2019-09-02T03:46:20.165,0.179,-0.488,-1.098,0.366
1567421180165,2019-09-02T03:46:20.165,0.179,-0.671,-1.890,0.305
1567421180165,2019-09-02T03:46:20.165,0.179,-0.915,-1.890,0.366
1567421180196,2019-09-02T03:46:20.196,0.210,-0.610,-1.829,0.183
1567421180196,2019-09-02T03:46:20.196,0.210,-0.427,-1.951,0.183
1567421180196,2019-09-02T03:46:20.196,0.210,0.000,-0.732,0.183
1567421180227,2019-09-02T03:46:20.227,0.241,0.305,0.305,0.122
1567421180227,2019-09-02T03:46:20.227,0.241,0.244,-0.305,0.122
1567421180227,2019-09-02T03:46:20.227,0.241,-0.122,-0.732,0.305
1567421180244,2019-09-02T03:46:20.244,0.258,-0.610,-1.402,0.305
1567421180244,2019-09-02T03:46:20.244,0.258,-0.915,-2.195,0.366
1567421180244,2019-09-02T03:46:20.244,0.258,-0.915,-2.256,0.366
1567421180262,2019-09-02T03:46:20.262,0.276,-0.610,-1.341,0.366
1567421180262,2019-09-02T03:46:20.262,0.276,-0.183,-0.610,0.244
1567421180262,2019-09-02T03:46:20.262,0.276,-0.061,-0.427,0.244
1567421180279,2019-09-02T03:46:20.279,0.293,0.000,-0.549,0.305
1567421180279,2019-09-02T03:46:20.279,0.293,-0.122,-0.671,0.244
1567421180279,2019-09-02T03:46:20.279,0.293,-0.122,-0.732,0.305
1567421180324,2019-09-02T03:46:20.324,0.338,-0.305,-0.732,0.244
1567421180324,2019-09-02T03:46:20.324,0.338,-0.488,-0.793,0.366
1567421180324,2019-09-02T03:46:20.324,0.338,-0.732,-1.707,0.427
1567421180370,2019-09-02T03:46:20.370,0.384,-0.854,-2.134,0.427
1567421180370,2019-09-02T03:46:20.370,0.384,-0.549,-1.341,0.244
1567421180370,2019-09-02T03:46:20.370,0.384,-0.183,-0.854,0.183
1567421180430,2019-09-02T03:46:20.430,0.444,-0.061,-0.244,0.244
1567421180430,2019-09-02T03:46:20.430,0.444,-0.061,-0.305,0.244
1567421180430,2019-09-02T03:46:20.430,0.444,0.000,-0.915,0.305
1567421180505,2019-09-02T03:46:20.505,0.519,0.122,-1.280,0.305
1567421180505,2019-09-02T03:46:20.505,0.519,0.061,-0.549,0.183
1567421180505,2019-09-02T03:46:20.505,0.519,-0.366,-0.854,0.061
1567421180550,2019-09-02T03:46:20.550,0.564,-0.915,-2.500,0.061
1567421180550,2019-09-02T03:46:20.550,0.564,-0.244,-2.866,-0.061
1567421180550,2019-09-02T03:46:20.550,0.564,-0.244,-1.829,0.122
1567421180610,2019-09-02T03:46:20.610,0.624,-0.244,-0.854,0.244
