epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567418992187,2019-09-02T03:09:52.187,0.000,-0.765,0.075,0.660
1567418992187,2019-09-02T03:09:52.187,0.000,-0.775,0.068,0.656
1567418992187,2019-09-02T03:09:52.187,0.000,-0.776,0.055,0.662
1567418992305,2019-09-02T03:09:52.305,0.118,-0.773,0.057,0.669
1567418992305,2019-09-02T03:09:52.305,0.118,-0.784,0.061,0.668
1567418992305,2019-09-02T03:09:52.305,0.118,-0.798,0.064,0.657
1567418992351,2019-09-02T03:09:52.351,0.164,-0.794,0.069,0.638
1567418992351,2019-09-02T03:09:52.351,0.164,-0.792,0.073,0.632
1567418992351,2019-09-02T03:09:52.351,0.164,-0.797,0.080,0.636
1567418992395,2019-09-02T03:09:52.395,0.208,-0.781,0.093,0.645
1567418992395,2019-09-02T03:09:52.395,0.208,-0.774,0.097,0.648
1567418992395,2019-09-02T03:09:52.395,0.208,-0.785,0.082,0.650
1567418992432,2019-09-02T03:09:52.432,0.245,-0.785,0.074,0.646
1567418992432,2019-09-02T03:09:52.432,0.245,-0.797,0.071,0.639
1567418992432,2019-09-02T03:09:52.432,0.245,-0.795,0.072,0.635
1567418992468,2019-09-02T03:09:52.468,0.281,-0.788,0.070,0.634
1567418992468,2019-09-02T03:09:52.468,0.281,-0.780,0.060,0.634
1567418992468,2019-09-02T03:09:52.468,0.281,-0.776,0.052,0.636
1567418992505,2019-09-02T03:09:52.505,0.318,-0.785,0.048,0.637
1567418992505,2019-09-02T03:09:52.505,0.318,-0.795,0.058,0.633
1567418992505,2019-09-02T03:09:52.505,0.318,-0.795,0.074,0.627
1567418992551,2019-09-02T03:09:52.551,0.364,-0.802,0.082,0.621
1567418992551,2019-09-02T03:09:52.551,0.364,-0.807,0.082,0.622
1567418992551,2019-09-02T03:09:52.551,0.364,-0.806,0.072,0.618
1567418992586,2019-09-02T03:09:52.586,0.399,-0.799,0.055,0.616
1567418992586,2019-09-02T03:09:52.586,0.399,-0.794,0.047,0.617
1567418992586,2019-09-02T03:09:52.586,0.399,-0.805,0.044,0.621
1567418992624,2019-09-02T03:09:52.624,0.437,-0.812,0.045,0.620
1567418992624,2019-09-02T03:09:52.624,0.437,-0.811,0.040,0.610
1567418992624,2019-09-02T03:09:52.624,0.437,-0.798,0.049,0.604
1567418992661,2019-09-02T03:09:52.661,0.474,-0.799,0.056,0.597
1567418992661,2019-09-02T03:09:52.661,0.474,-0.811,0.051,0.602
1567418992661,2019-09-02T03:09:52.661,0.474,-0.830,0.051,0.605
1567418992696,2019-09-02T03:09:52.696,0.509,-0.839,0.056,0.601
1567418992696,2019-09-02T03:09:52.696,0.509,-0.837,0.052,0.588
1567418992696,2019-09-02T03:09:52.696,0.509,-0.833,0.054,0.573
1567418992733,2019-09-02T03:09:52.733,0.546,-0.833,0.052,0.572
1567418992733,2019-09-02T03:09:52.733,0.546,-0.837,0.041,0.563
1567418992733,2019-09-02T03:09:52.733,0.546,-0.839,0.022,0.570
1567418992769,2019-09-02T03:09:52.769,0.582,-0.855,0.006,0.573
1567418992769,2019-09-02T03:09:52.769,0.582,-0.880,-0.007,0.563
1567418992769,2019-09-02T03:09:52.769,0.582,-0.887,-0.008,0.554
1567418992813,2019-09-02T03:09:52.813,0.626,-0.883,0.001,0.541
1567418992813,2019-09-02T03:09:52.813,0.626,-0.877,0.004,0.516
1567418992813,2019-09-02T03:09:52.813,0.626,-0.869,0.001,0.521
1567418992859,2019-09-02T03:09:52.859,0.672,-0.905,-0.020,0.547
1567418992859,2019-09-02T03:09:52.859,0.672,-0.913,-0.027,0.569
1567418992859,2019-09-02T03:09:52.859,0.672,-0.858,-0.014,0.583
1567418992896,2019-09-02T03:09:52.896,0.709,-0.810,0.002,0.593
1567418992896,2019-09-02T03:09:52.896,0.709,-0.792,0.018,0.608
1567418992896,2019-09-02T03:09:52.896,0.709,-0.804,0.028,0.638
1567418992931,2019-09-02T03:09:52.931,0.744,-0.800,0.040,0.649
1567418992931,2019-09-02T03:09:52.931,0.744,-0.781,0.041,0.641
1567418992931,2019-09-02T03:09:52.931,0.744,-0.792,0.045,0.635
1567418992967,2019-09-02T03:09:52.967,0.780,-0.795,0.024,0.617
1567418992967,2019-09-02T03:09:52.967,0.780,-0.819,0.026,0.615
1567418992967,2019-09-02T03:09:52.967,0.780,-0.830,0.017,0.610
1567418993029,2019-09-02T03:09:53.029,0.842,-0.804,-0.004,0.608
1567418993029,2019-09-02T03:09:53.029,0.842,-0.810,-0.011,0.604
1567418993029,2019-09-02T03:09:53.029,0.842,-0.830,-0.005,0.595
1567418993085,2019-09-02T03:09:53.085,0.898,-0.839,0.001,0.587
1567418993085,2019-09-02T03:09:53.085,0.898,-0.834,-0.001,0.587
1567418993085,2019-09-02T03:09:53.085,0.898,-0.830,-0.013,0.593
1567418993133,2019-09-02T03:09:53.133,0.946,-0.833,-0.006,0.599
1567418993133,2019-09-02T03:09:53.133,0.946,-0.822,-0.011,0.604
1567418993133,2019-09-02T03:09:53.133,0.946,-0.808,-0.016,0.615
1567418993175,2019-09-02T03:09:53.175,0.988,-0.815,-0.020,0.616
1567418993175,2019-09-02T03:09:53.175,0.988,-0.804,-0.033,0.610
1567418993175,2019-09-02T03:09:53.175,0.988,-0.806,-0.031,0.604
1567418993226,2019-09-02T03:09:53.226,1.039,-0.829,-0.036,0.614
1567418993226,2019-09-02T03:09:53.226,1.039,-0.846,-0.037,0.622
1567418993226,2019-09-02T03:09:53.226,1.039,-0.813,-0.036,0.617
1567418993288,2019-09-02T03:09:53.288,1.101,-0.802,-0.023,0.612
1567418993288,2019-09-02T03:09:53.288,1.101,-0.806,-0.030,0.601
1567418993288,2019-09-02T03:09:53.288,1.101,-0.822,-0.034,0.624
1567418993317,2019-09-02T03:09:53.317,1.130,-0.854,-0.009,0.630
1567418993317,2019-09-02T03:09:53.317,1.130,-0.793,-0.020,0.618
1567418993317,2019-09-02T03:09:53.317,1.130,-0.785,-0.024,0.622
1567418993355,2019-09-02T03:09:53.355,1.168,-0.806,-0.033,0.625
1567418993355,2019-09-02T03:09:53.355,1.168,-0.812,-0.032,0.609
1567418993355,2019-09-02T03:09:53.355,1.168,-0.829,-0.029,0.598
1567418993392,2019-09-02T03:09:53.392,1.205,-0.840,-0.042,0.591
1567418993392,2019-09-02T03:09:53.392,1.205,-0.829,-0.041,0.588
1567418993392,2019-09-02T03:09:53.392,1.205,-0.814,-0.031,0.588
1567418993431,2019-09-02T03:09:53.431,1.244,-0.799,-0.025,0.600
1567418993431,2019-09-02T03:09:53.431,1.244,-0.747,-0.063,0.656
1567418993431,2019-09-02T03:09:53.431,1.244,-0.764,-0.096,0.749
1567418993468,2019-09-02T03:09:53.468,1.281,-0.827,-0.126,0.682
1567418993468,2019-09-02T03:09:53.468,1.281,-0.847,-0.195,0.521
1567418993468,2019-09-02T03:09:53.468,1.281,-0.871,-0.207,0.475
1567418993515,2019-09-02T03:09:53.515,1.328,-1.073,-0.268,0.468
1567418993515,2019-09-02T03:09:53.515,1.328,-1.368,-0.319,0.391
