epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567419484394,2019-09-02T03:18:04.394,0.000,-0.244,-0.854,-0.305
1567419484394,2019-09-02T03:18:04.394,0.000,-0.061,0.732,-0.122
1567419484394,2019-09-02T03:18:04.394,0.000,0.183,0.122,0.122
1567419484881,2019-09-02T03:18:04.881,0.487,0.000,-1.037,0.366
1567419484881,2019-09-02T03:18:04.881,0.487,-0.061,-1.098,0.244
1567419484881,2019-09-02T03:18:04.881,0.487,-0.183,-0.549,0.000
1567419484940,2019-09-02T03:18:04.940,0.546,0.061,-1.159,-0.366
1567419484940,2019-09-02T03:18:04.940,0.546,0.183,-1.524,-0.244
1567419484940,2019-09-02T03:18:04.940,0.546,-0.061,-0.427,0.244
1567419484971,2019-09-02T03:18:04.971,0.577,-0.366,0.305,0.366
1567419484971,2019-09-02T03:18:04.971,0.577,-0.732,0.366,0.610
1567419484971,2019-09-02T03:18:04.971,0.577,-0.488,-0.061,0.427
1567419485000,2019-09-02T03:18:05.000,0.606,-0.244,-0.549,-0.183
1567419485000,2019-09-02T03:18:05.000,0.606,-0.244,0.305,0.061
1567419485000,2019-09-02T03:18:05.000,0.606,-0.122,0.427,0.061
1567419485037,2019-09-02T03:18:05.037,0.643,0.183,-0.976,-0.183
1567419485037,2019-09-02T03:18:05.037,0.643,0.244,-1.463,0.244
1567419485037,2019-09-02T03:18:05.037,0.643,-0.061,-1.280,0.732
1567419485065,2019-09-02T03:18:05.065,0.671,-0.061,-1.829,0.427
1567419485065,2019-09-02T03:18:05.065,0.671,-0.061,-2.134,0.183
1567419485065,2019-09-02T03:18:05.065,0.671,-0.183,-1.646,0.122
1567419485104,2019-09-02T03:18:05.104,0.710,-0.183,-0.976,0.183
1567419485104,2019-09-02T03:18:05.104,0.710,0.061,-0.610,0.244
1567419485104,2019-09-02T03:18:05.104,0.710,0.305,-0.854,0.061
1567419485142,2019-09-02T03:18:05.142,0.748,0.305,-1.037,0.000
1567419485142,2019-09-02T03:18:05.142,0.748,0.122,-0.915,0.183
1567419485142,2019-09-02T03:18:05.142,0.748,0.061,-1.646,0.061
1567419485181,2019-09-02T03:18:05.181,0.787,-0.366,-2.317,-0.061
1567419485181,2019-09-02T03:18:05.181,0.787,-0.732,-3.537,-0.122
1567419485181,2019-09-02T03:18:05.181,0.787,-0.549,-6.220,-0.061
1567419485256,2019-09-02T03:18:05.256,0.862,-0.671,-5.732,-0.122
1567419485256,2019-09-02T03:18:05.256,0.862,-1.280,-3.354,0.305
1567419485256,2019-09-02T03:18:05.256,0.862,-1.341,-2.378,0.549
1567419485284,2019-09-02T03:18:05.284,0.890,-1.098,-1.707,1.341
1567419485284,2019-09-02T03:18:05.284,0.890,-1.159,-0.305,1.829
1567419485284,2019-09-02T03:18:05.284,0.890,-0.671,0.610,1.585
1567419485302,2019-09-02T03:18:05.302,0.908,0.122,0.244,0.305
1567419485302,2019-09-02T03:18:05.302,0.908,-0.122,-1.280,-0.305
1567419485302,2019-09-02T03:18:05.302,0.908,0.244,-2.988,-0.732
1567419485339,2019-09-02T03:18:05.339,0.945,-0.915,-4.573,-0.183
1567419485339,2019-09-02T03:18:05.339,0.945,-1.220,-10.244,-0.427
1567419485339,2019-09-02T03:18:05.339,0.945,-0.610,-19.329,-0.793
1567419485384,2019-09-02T03:18:05.384,0.990,-0.854,-23.537,-0.305
1567419485384,2019-09-02T03:18:05.384,0.990,-1.524,-19.878,0.854
1567419485384,2019-09-02T03:18:05.384,0.990,-1.890,-11.890,1.280
1567419485412,2019-09-02T03:18:05.412,1.018,-2.073,-4.695,1.098
1567419485412,2019-09-02T03:18:05.412,1.018,0.793,-5.610,-1.220
1567419485412,2019-09-02T03:18:05.412,1.018,4.207,-19.634,-4.207
1567419485449,2019-09-02T03:18:05.449,1.055,7.134,-32.988,-3.110
1567419485449,2019-09-02T03:18:05.449,1.055,7.439,-44.207,-1.768
1567419485449,2019-09-02T03:18:05.449,1.055,5.549,-31.890,0.427
1567419485501,2019-09-02T03:18:05.501,1.107,8.780,-14.207,7.073
1567419485501,2019-09-02T03:18:05.501,1.107,12.134,-63.598,4.268
1567419485501,2019-09-02T03:18:05.501,1.107,10.488,-98.720,-1.463
1567419485532,2019-09-02T03:18:05.532,1.138,6.341,-94.207,-4.512
1567419485532,2019-09-02T03:18:05.532,1.138,2.378,-79.207,-10.061
1567419485532,2019-09-02T03:18:05.532,1.138,-0.671,-68.110,-8.110
1567419485573,2019-09-02T03:18:05.573,1.179,-3.841,-70.671,-11.037
1567419485573,2019-09-02T03:18:05.573,1.179,-3.537,-65.244,-13.902
1567419485573,2019-09-02T03:18:05.573,1.179,1.341,-59.146,-14.085
1567419485627,2019-09-02T03:18:05.627,1.233,11.159,-44.878,-13.598
1567419485627,2019-09-02T03:18:05.627,1.233,32.988,-2.866,-5.122
1567419485627,2019-09-02T03:18:05.627,1.233,59.756,55.610,2.439
1567419485667,2019-09-02T03:18:05.667,1.273,83.902,88.537,0.915
1567419485667,2019-09-02T03:18:05.667,1.273,102.988,93.659,0.671
1567419485667,2019-09-02T03:18:05.667,1.273,119.207,73.171,-3.110
1567419485701,2019-09-02T03:18:05.701,1.307,130.427,41.037,-16.098
1567419485701,2019-09-02T03:18:05.701,1.307,132.927,41.463,-32.317
1567419485701,2019-09-02T03:18:05.701,1.307,135.061,35.549,-43.963
1567419485743,2019-09-02T03:18:05.743,1.349,137.927,-23.780,-52.988
1567419485743,2019-09-02T03:18:05.743,1.349,133.354,-26.585,-78.171
1567419485743,2019-09-02T03:18:05.743,1.349,122.317,-2.378,-91.402
1567419485784,2019-09-02T03:18:05.784,1.390,113.415,-16.463,-97.073
1567419485784,2019-09-02T03:18:05.784,1.390,105.122,-45.366,-95.122
1567419485784,2019-09-02T03:18:05.784,1.390,95.549,-83.841,-99.939
1567419485834,2019-09-02T03:18:05.834,1.440,74.939,-125.305,-109.390
1567419485834,2019-09-02T03:18:05.834,1.440,55.793,-122.256,-113.720
1567419485834,2019-09-02T03:18:05.834,1.440,41.220,-95.793,-108.171
1567419485869,2019-09-02T03:18:05.869,1.475,27.805,-61.768,-94.024
1567419485869,2019-09-02T03:18:05.869,1.475,18.354,-38.354,-77.622
1567419485869,2019-09-02T03:18:05.869,1.475,10.305,-37.805,-64.939
1567419485907,2019-09-02T03:18:05.907,1.513,3.841,-45.366,-55.793
1567419485907,2019-09-02T03:18:05.907,1.513,-2.866,-41.280,-47.256
1567419485907,2019-09-02T03:18:05.907,1.513,-9.634,-23.963,-40.488
1567419485942,2019-09-02T03:18:05.942,1.548,-20.000,-0.549,-38.780
1567419485942,2019-09-02T03:18:05.942,1.548,-25.000,17.866,-30.793
1567419485942,2019-09-02T03:18:05.942,1.548,-10.061,41.220,-18.476
1567419485987,2019-09-02T03:18:05.987,1.593,1.829,67.073,-23.171
1567419485987,2019-09-02T03:18:05.987,1.593,8.110,60.244,-30.427
1567419485987,2019-09-02T03:18:05.987,1.593,13.598,52.622,-39.878
1567419486021,2019-09-02T03:18:06.021,1.627,14.390,61.768,-39.817
1567419486021,2019-09-02T03:18:06.021,1.627,6.829,64.573,-40.244
1567419486021,2019-09-02T03:18:06.021,1.627,-5.427,90.244,-36.037
1567419486057,2019-09-02T03:18:06.057,1.663,-12.622,84.634,-21.951
1567419486057,2019-09-02T03:18:06.057,1.663,-22.134,51.524,-18.171
1567419486057,2019-09-02T03:18:06.057,1.663,-28.293,69.024,-5.915
1567419486102,2019-09-02T03:18:06.102,1.708,-26.341,95.793,8.780
1567419486102,2019-09-02T03:18:06.102,1.708,-22.561,112.744,11.341
1567419486102,2019-09-02T03:18:06.102,1.708,-14.695,130.427,18.232
1567419486137,2019-09-02T03:18:06.137,1.743,-7.500,153.171,31.098
1567419486137,2019-09-02T03:18:06.137,1.743,-7.500,181.829,48.841
1567419486137,2019-09-02T03:18:06.137,1.743,-14.878,199.207,68.171
1567419486188,2019-09-02T03:18:06.188,1.794,-22.805,235.549,87.744
1567419486188,2019-09-02T03:18:06.188,1.794,-30.976,276.768,99.390
1567419486188,2019-09-02T03:18:06.188,1.794,-41.402,285.427,98.354
1567419486229,2019-09-02T03:18:06.229,1.835,-58.902,242.256,91.159
1567419486229,2019-09-02T03:18:06.229,1.835,-74.207,187.744,85.671
1567419486229,2019-09-02T03:18:06.229,1.835,-88.780,139.390,80.793
1567419486277,2019-09-02T03:18:06.277,1.883,-103.963,108.232,70.915
1567419486277,2019-09-02T03:18:06.277,1.883,-117.561,74.878,53.415
1567419486277,2019-09-02T03:18:06.277,1.883,-127.195,30.854,30.366
1567419486324,2019-09-02T03:18:06.324,1.930,-133.049,7.317,14.390
1567419486324,2019-09-02T03:18:06.324,1.930,-139.146,5.366,2.134
1567419486324,2019-09-02T03:18:06.324,1.930,-140.061,3.232,-17.317
1567419486363,2019-09-02T03:18:06.363,1.969,-135.305,-15.549,-37.439
1567419486363,2019-09-02T03:18:06.363,1.969,-131.280,-40.488,-52.256
1567419486363,2019-09-02T03:18:06.363,1.969,-125.061,-56.037,-64.329
1567419486400,2019-09-02T03:18:06.400,2.006,-119.756,-63.232,-73.963
1567419486400,2019-09-02T03:18:06.400,2.006,-114.939,-64.024,-79.939
1567419486400,2019-09-02T03:18:06.400,2.006,-107.622,-62.134,-86.159
1567419486437,2019-09-02T03:18:06.437,2.043,-103.293,-66.402,-91.829
1567419486437,2019-09-02T03:18:06.437,2.043,-98.232,-68.598,-89.329
1567419486437,2019-09-02T03:18:06.437,2.043,-92.073,-70.305,-84.451
1567419486473,2019-09-02T03:18:06.473,2.079,-84.146,-80.976,-78.110
1567419486473,2019-09-02T03:18:06.473,2.079,-75.000,-91.341,-66.341
1567419486473,2019-09-02T03:18:06.473,2.079,-68.049,-77.134,-54.207
1567419486519,2019-09-02T03:18:06.519,2.125,-60.061,-48.110,-40.854
1567419486519,2019-09-02T03:18:06.519,2.125,-49.817,-37.866,-25.976
1567419486519,2019-09-02T03:18:06.519,2.125,-33.780,-55.122,-14.085
1567419486558,2019-09-02T03:18:06.558,2.164,-18.110,-86.037,-10.427
1567419486558,2019-09-02T03:18:06.558,2.164,-12.683,-115.183,-9.268
1567419486558,2019-09-02T03:18:06.558,2.164,-10.610,-127.927,-10.915
1567419486610,2019-09-02T03:18:06.610,2.216,-9.817,-120.244,-10.000
1567419486610,2019-09-02T03:18:06.610,2.216,-1.402,-92.744,-5.854
1567419486610,2019-09-02T03:18:06.610,2.216,9.695,-33.659,9.695
1567419486647,2019-09-02T03:18:06.647,2.253,10.549,-70.488,17.500
1567419486647,2019-09-02T03:18:06.647,2.253,12.805,-132.805,0.549
1567419486647,2019-09-02T03:18:06.647,2.253,13.537,-128.354,1.280
1567419486676,2019-09-02T03:18:06.676,2.282,13.476,-87.561,8.110
1567419486676,2019-09-02T03:18:06.676,2.282,9.024,-49.329,13.902
1567419486676,2019-09-02T03:18:06.676,2.282,2.378,-33.963,12.195
1567419486713,2019-09-02T03:18:06.713,2.319,-4.146,-29.512,6.463
1567419486713,2019-09-02T03:18:06.713,2.319,-8.354,-15.549,3.171
1567419486713,2019-09-02T03:18:06.713,2.319,-8.780,9.268,5.610
1567419486773,2019-09-02T03:18:06.773,2.379,-4.939,16.098,9.268
1567419486773,2019-09-02T03:18:06.773,2.379,-1.646,-6.159,12.195
1567419486773,2019-09-02T03:18:06.773,2.379,0.671,-16.707,11.402
1567419486799,2019-09-02T03:18:06.799,2.405,4.634,1.341,17.073
1567419486799,2019-09-02T03:18:06.799,2.405,6.585,-4.085,21.890
1567419486799,2019-09-02T03:18:06.799,2.405,9.512,-20.854,16.341
