epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567419484807,2019-09-02T03:18:04.807,0.000,-0.766,0.042,0.684
1567419484807,2019-09-02T03:18:04.807,0.000,-0.760,0.043,0.683
1567419484807,2019-09-02T03:18:04.807,0.000,-0.753,0.047,0.682
1567419484919,2019-09-02T03:18:04.919,0.112,-0.759,0.048,0.682
1567419484919,2019-09-02T03:18:04.919,0.112,-0.762,0.044,0.688
1567419484919,2019-09-02T03:18:04.919,0.112,-0.758,0.039,0.687
1567419484953,2019-09-02T03:18:04.953,0.146,-0.756,0.040,0.679
1567419484953,2019-09-02T03:18:04.953,0.146,-0.749,0.042,0.680
1567419484953,2019-09-02T03:18:04.953,0.146,-0.756,0.041,0.685
1567419484991,2019-09-02T03:18:04.991,0.184,-0.765,0.042,0.690
1567419484991,2019-09-02T03:18:04.991,0.184,-0.755,0.048,0.688
1567419484991,2019-09-02T03:18:04.991,0.184,-0.759,0.049,0.686
1567419485009,2019-09-02T03:18:05.009,0.202,-0.770,0.045,0.684
1567419485009,2019-09-02T03:18:05.009,0.202,-0.769,0.042,0.681
1567419485009,2019-09-02T03:18:05.009,0.202,-0.764,0.039,0.679
1567419485046,2019-09-02T03:18:05.046,0.239,-0.764,0.042,0.678
1567419485046,2019-09-02T03:18:05.046,0.239,-0.755,0.045,0.678
1567419485046,2019-09-02T03:18:05.046,0.239,-0.751,0.047,0.685
1567419485084,2019-09-02T03:18:05.084,0.277,-0.758,0.044,0.690
1567419485084,2019-09-02T03:18:05.084,0.277,-0.759,0.038,0.684
1567419485084,2019-09-02T03:18:05.084,0.277,-0.759,0.041,0.684
1567419485122,2019-09-02T03:18:05.122,0.315,-0.759,0.043,0.685
1567419485122,2019-09-02T03:18:05.122,0.315,-0.759,0.044,0.683
1567419485122,2019-09-02T03:18:05.122,0.315,-0.763,0.043,0.683
1567419485172,2019-09-02T03:18:05.172,0.365,-0.763,0.046,0.681
1567419485172,2019-09-02T03:18:05.172,0.365,-0.762,0.044,0.682
1567419485172,2019-09-02T03:18:05.172,0.365,-0.771,0.044,0.678
1567419485246,2019-09-02T03:18:05.246,0.439,-0.760,0.048,0.676
1567419485246,2019-09-02T03:18:05.246,0.439,-0.746,0.046,0.679
1567419485246,2019-09-02T03:18:05.246,0.439,-0.759,0.040,0.685
1567419485265,2019-09-02T03:18:05.265,0.458,-0.756,0.031,0.694
1567419485265,2019-09-02T03:18:05.265,0.458,-0.744,0.033,0.700
1567419485265,2019-09-02T03:18:05.265,0.458,-0.740,0.035,0.698
1567419485293,2019-09-02T03:18:05.293,0.486,-0.751,0.041,0.693
1567419485293,2019-09-02T03:18:05.293,0.486,-0.757,0.052,0.691
1567419485293,2019-09-02T03:18:05.293,0.486,-0.765,0.052,0.680
1567419485330,2019-09-02T03:18:05.330,0.523,-0.764,0.055,0.672
1567419485330,2019-09-02T03:18:05.330,0.523,-0.775,0.050,0.662
1567419485330,2019-09-02T03:18:05.330,0.523,-0.796,0.041,0.656
1567419485357,2019-09-02T03:18:05.357,0.550,-0.787,0.043,0.667
1567419485357,2019-09-02T03:18:05.357,0.550,-0.744,0.038,0.697
1567419485357,2019-09-02T03:18:05.357,0.550,-0.698,0.032,0.716
1567419485393,2019-09-02T03:18:05.393,0.586,-0.666,0.026,0.722
1567419485393,2019-09-02T03:18:05.393,0.586,-0.707,0.015,0.698
1567419485393,2019-09-02T03:18:05.393,0.586,-0.790,0.017,0.679
1567419485431,2019-09-02T03:18:05.431,0.624,-0.819,0.021,0.711
1567419485431,2019-09-02T03:18:05.431,0.624,-0.834,0.024,0.749
1567419485431,2019-09-02T03:18:05.431,0.624,-0.753,0.025,0.667
1567419485467,2019-09-02T03:18:05.467,0.660,-0.690,0.017,0.735
1567419485467,2019-09-02T03:18:05.467,0.660,-0.953,0.020,0.657
1567419485467,2019-09-02T03:18:05.467,0.660,-0.894,0.056,0.688
1567419485512,2019-09-02T03:18:05.512,0.705,-0.655,0.116,0.761
1567419485512,2019-09-02T03:18:05.512,0.705,-0.540,0.118,0.786
1567419485512,2019-09-02T03:18:05.512,0.705,-0.526,0.097,0.777
1567419485555,2019-09-02T03:18:05.555,0.748,-0.591,0.079,0.828
1567419485555,2019-09-02T03:18:05.555,0.748,-0.538,0.022,0.908
1567419485555,2019-09-02T03:18:05.555,0.748,-0.502,-0.064,1.014
1567419485597,2019-09-02T03:18:05.597,0.790,-0.383,-0.144,1.103
1567419485597,2019-09-02T03:18:05.597,0.790,-0.276,-0.263,1.256
1567419485597,2019-09-02T03:18:05.597,0.790,-0.329,-0.321,1.414
1567419485647,2019-09-02T03:18:05.647,0.840,-0.400,-0.272,1.349
1567419485647,2019-09-02T03:18:05.647,0.840,-0.396,-0.190,1.211
1567419485647,2019-09-02T03:18:05.647,0.840,-0.462,-0.117,1.084
1567419485684,2019-09-02T03:18:05.684,0.877,-0.504,-0.021,0.973
1567419485684,2019-09-02T03:18:05.684,0.877,-0.348,-0.003,0.920
1567419485684,2019-09-02T03:18:05.684,0.877,-0.295,-0.142,0.799
1567419485719,2019-09-02T03:18:05.719,0.912,-0.612,0.043,0.626
1567419485719,2019-09-02T03:18:05.719,0.912,-0.497,0.263,0.627
1567419485719,2019-09-02T03:18:05.719,0.912,-0.432,0.229,0.639
1567419485764,2019-09-02T03:18:05.764,0.957,-0.594,0.244,0.553
1567419485764,2019-09-02T03:18:05.764,0.957,-0.655,0.231,0.432
1567419485764,2019-09-02T03:18:05.764,0.957,-0.747,0.242,0.335
1567419485816,2019-09-02T03:18:05.816,1.009,-0.848,0.298,0.326
1567419485816,2019-09-02T03:18:05.816,1.009,-0.784,0.310,0.439
1567419485816,2019-09-02T03:18:05.816,1.009,-0.722,0.266,0.503
1567419485852,2019-09-02T03:18:05.852,1.045,-0.727,0.215,0.516
1567419485852,2019-09-02T03:18:05.852,1.045,-0.780,0.221,0.516
1567419485852,2019-09-02T03:18:05.852,1.045,-0.880,0.250,0.531
1567419485886,2019-09-02T03:18:05.886,1.079,-0.924,0.269,0.573
1567419485886,2019-09-02T03:18:05.886,1.079,-0.835,0.300,0.635
1567419485886,2019-09-02T03:18:05.886,1.079,-0.731,0.319,0.698
1567419485925,2019-09-02T03:18:05.925,1.118,-0.648,0.364,0.718
1567419485925,2019-09-02T03:18:05.925,1.118,-0.566,0.364,0.700
1567419485925,2019-09-02T03:18:05.925,1.118,-0.556,0.237,0.764
