epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567421418024,2019-09-02T03:50:18.024,0.000,-0.232,-0.969,0.176
1567421418024,2019-09-02T03:50:18.024,0.000,-0.232,-0.971,0.174
1567421418024,2019-09-02T03:50:18.024,0.000,-0.243,-0.974,0.170
1567421418152,2019-09-02T03:50:18.152,0.128,-0.238,-0.972,0.170
1567421418152,2019-09-02T03:50:18.152,0.128,-0.240,-0.972,0.170
1567421418152,2019-09-02T03:50:18.152,0.128,-0.239,-0.973,0.171
1567421418205,2019-09-02T03:50:18.205,0.181,-0.234,-0.975,0.170
1567421418205,2019-09-02T03:50:18.205,0.181,-0.234,-0.982,0.170
1567421418205,2019-09-02T03:50:18.205,0.181,-0.229,-0.980,0.171
1567421418246,2019-09-02T03:50:18.246,0.222,-0.229,-0.982,0.170
1567421418246,2019-09-02T03:50:18.246,0.222,-0.228,-0.982,0.170
1567421418246,2019-09-02T03:50:18.246,0.222,-0.230,-0.982,0.173
1567421418285,2019-09-02T03:50:18.285,0.261,-0.222,-0.981,0.172
1567421418285,2019-09-02T03:50:18.285,0.261,-0.222,-0.979,0.182
1567421418285,2019-09-02T03:50:18.285,0.261,-0.216,-0.969,0.185
1567421418325,2019-09-02T03:50:18.325,0.301,-0.235,-0.970,0.175
1567421418325,2019-09-02T03:50:18.325,0.301,-0.233,-0.969,0.169
1567421418325,2019-09-02T03:50:18.325,0.301,-0.230,-0.968,0.167
1567421418381,2019-09-02T03:50:18.381,0.357,-0.241,-0.973,0.156
1567421418381,2019-09-02T03:50:18.381,0.357,-0.246,-0.974,0.159
1567421418381,2019-09-02T03:50:18.381,0.357,-0.245,-0.974,0.160
1567421418426,2019-09-02T03:50:18.426,0.402,-0.249,-0.974,0.154
1567421418426,2019-09-02T03:50:18.426,0.402,-0.246,-0.970,0.162
1567421418426,2019-09-02T03:50:18.426,0.402,-0.239,-0.969,0.165
1567421418470,2019-09-02T03:50:18.470,0.446,-0.229,-0.974,0.173
1567421418470,2019-09-02T03:50:18.470,0.446,-0.234,-0.975,0.177
1567421418470,2019-09-02T03:50:18.470,0.446,-0.243,-0.973,0.178
1567421418515,2019-09-02T03:50:18.515,0.491,-0.242,-0.969,0.172
1567421418515,2019-09-02T03:50:18.515,0.491,-0.235,-0.966,0.171
1567421418515,2019-09-02T03:50:18.515,0.491,-0.235,-0.972,0.168
1567421418558,2019-09-02T03:50:18.558,0.534,-0.235,-0.974,0.170
1567421418558,2019-09-02T03:50:18.558,0.534,-0.233,-0.976,0.177
1567421418558,2019-09-02T03:50:18.558,0.534,-0.226,-0.970,0.185
1567421418598,2019-09-02T03:50:18.598,0.574,-0.230,-0.969,0.185
1567421418598,2019-09-02T03:50:18.598,0.574,-0.241,-0.974,0.182
1567421418598,2019-09-02T03:50:18.598,0.574,-0.247,-0.978,0.180
1567421418637,2019-09-02T03:50:18.637,0.613,-0.237,-0.979,0.185
1567421418637,2019-09-02T03:50:18.637,0.613,-0.241,-0.982,0.193
