epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567421418048,2019-09-02T03:50:18.048,0.000,-0.305,1.280,-1.951
1567421418048,2019-09-02T03:50:18.048,0.000,-0.427,1.768,-2.683
1567421418048,2019-09-02T03:50:18.048,0.000,-0.488,1.037,-2.683
1567421418181,2019-09-02T03:50:18.181,0.133,-0.671,1.402,-2.439
1567421418181,2019-09-02T03:50:18.181,0.133,-0.793,1.402,-1.890
1567421418181,2019-09-02T03:50:18.181,0.133,-1.098,1.585,-1.585
1567421418226,2019-09-02T03:50:18.226,0.178,-1.220,2.073,-1.220
1567421418226,2019-09-02T03:50:18.226,0.178,-0.732,1.707,-1.098
1567421418226,2019-09-02T03:50:18.226,0.178,-0.610,2.439,-0.976
1567421418265,2019-09-02T03:50:18.265,0.217,-0.427,3.476,-0.976
1567421418265,2019-09-02T03:50:18.265,0.217,-0.183,3.171,-1.098
1567421418265,2019-09-02T03:50:18.265,0.217,0.061,1.890,-1.280
1567421418305,2019-09-02T03:50:18.305,0.257,0.549,1.524,-0.915
1567421418305,2019-09-02T03:50:18.305,0.257,0.854,2.988,-1.037
1567421418305,2019-09-02T03:50:18.305,0.257,0.244,5.976,-0.915
1567421418355,2019-09-02T03:50:18.355,0.307,0.427,3.963,-1.402
1567421418355,2019-09-02T03:50:18.355,0.307,-0.061,3.110,-1.768
1567421418355,2019-09-02T03:50:18.355,0.307,-0.549,4.146,-2.134
1567421418403,2019-09-02T03:50:18.403,0.355,-0.366,3.415,-2.134
1567421418403,2019-09-02T03:50:18.403,0.355,-0.488,3.537,-1.707
1567421418403,2019-09-02T03:50:18.403,0.355,-0.854,3.110,-1.280
1567421418448,2019-09-02T03:50:18.448,0.400,-0.671,0.915,-0.915
1567421418448,2019-09-02T03:50:18.448,0.400,-0.854,-0.610,-0.793
1567421418448,2019-09-02T03:50:18.448,0.400,-1.159,0.000,-0.671
1567421418492,2019-09-02T03:50:18.492,0.444,-0.854,1.402,-0.366
1567421418492,2019-09-02T03:50:18.492,0.444,-0.488,1.890,0.000
1567421418492,2019-09-02T03:50:18.492,0.444,-0.122,0.549,0.183
1567421418537,2019-09-02T03:50:18.537,0.489,-0.549,-0.732,0.305
1567421418537,2019-09-02T03:50:18.537,0.489,-1.159,-0.610,0.366
1567421418537,2019-09-02T03:50:18.537,0.489,-0.976,-1.037,0.610
1567421418578,2019-09-02T03:50:18.578,0.530,-0.488,-1.463,0.915
1567421418578,2019-09-02T03:50:18.578,0.530,-0.183,-0.610,1.280
1567421418578,2019-09-02T03:50:18.578,0.530,-0.793,1.037,1.951
1567421418618,2019-09-02T03:50:18.618,0.570,-1.890,1.341,2.195
1567421418618,2019-09-02T03:50:18.618,0.570,-2.805,-1.463,1.829
1567421418618,2019-09-02T03:50:18.618,0.570,-3.720,-5.122,1.159
1567421418657,2019-09-02T03:50:18.657,0.609,-4.390,-6.768,0.915
1567421418657,2019-09-02T03:50:18.657,0.609,-4.085,-9.207,1.098
1567421418657,2019-09-02T03:50:18.657,0.609,-5.671,-8.415,-0.549
1567421418697,2019-09-02T03:50:18.697,0.649,-6.402,-6.890,0.488
1567421418697,2019-09-02T03:50:18.697,0.649,-5.976,-11.951,1.707
1567421418697,2019-09-02T03:50:18.697,0.649,-6.220,-11.159,1.098
1567421418748,2019-09-02T03:50:18.748,0.700,-6.463,-8.232,3.780
1567421418748,2019-09-02T03:50:18.748,0.700,-5.976,-10.671,5.183
1567421418748,2019-09-02T03:50:18.748,0.700,-4.939,-16.098,5.000
1567421418786,2019-09-02T03:50:18.786,0.738,-4.512,-19.329,4.939
1567421418786,2019-09-02T03:50:18.786,0.738,-4.756,-18.780,5.183
1567421418786,2019-09-02T03:50:18.786,0.738,-6.646,-16.341,5.305
1567421418828,2019-09-02T03:50:18.828,0.780,-9.024,-11.646,3.354
1567421418828,2019-09-02T03:50:18.828,0.780,-11.280,-12.195,0.915
1567421418828,2019-09-02T03:50:18.828,0.780,-11.524,-19.085,-1.890
1567421418866,2019-09-02T03:50:18.866,0.818,-11.585,-23.476,-3.963
1567421418866,2019-09-02T03:50:18.866,0.818,-12.073,-25.793,-4.085
1567421418866,2019-09-02T03:50:18.866,0.818,-12.378,-26.280,-3.659
1567421418922,2019-09-02T03:50:18.922,0.874,-12.561,-24.390,-2.378
1567421418922,2019-09-02T03:50:18.922,0.874,-13.537,-22.195,-0.915
1567421418922,2019-09-02T03:50:18.922,0.874,-15.915,-19.207,1.463
1567421418967,2019-09-02T03:50:18.967,0.919,-18.720,-19.512,3.841
1567421418967,2019-09-02T03:50:18.967,0.919,-21.037,-20.610,6.646
1567421418967,2019-09-02T03:50:18.967,0.919,-22.378,-16.707,9.146
1567421419018,2019-09-02T03:50:19.018,0.970,-21.280,-8.598,8.902
1567421419018,2019-09-02T03:50:19.018,0.970,-18.598,0.305,5.488
1567421419018,2019-09-02T03:50:19.018,0.970,-14.451,8.354,-2.378
1567421419059,2019-09-02T03:50:19.059,1.011,-9.817,16.220,-12.805
1567421419059,2019-09-02T03:50:19.059,1.011,-4.817,25.305,-23.659
1567421419059,2019-09-02T03:50:19.059,1.011,-0.915,31.707,-31.402
1567421419111,2019-09-02T03:50:19.111,1.063,-1.280,33.598,-35.671
1567421419111,2019-09-02T03:50:19.111,1.063,-5.732,31.098,-37.805
1567421419111,2019-09-02T03:50:19.111,1.063,-12.378,22.134,-38.841
1567421419158,2019-09-02T03:50:19.158,1.110,-19.756,5.305,-40.244
1567421419158,2019-09-02T03:50:19.158,1.110,-25.305,-17.988,-43.049
1567421419158,2019-09-02T03:50:19.158,1.110,-27.622,-43.537,-46.646
1567421419215,2019-09-02T03:50:19.215,1.167,-27.317,-67.134,-50.061
1567421419215,2019-09-02T03:50:19.215,1.167,-25.610,-86.159,-53.720
1567421419215,2019-09-02T03:50:19.215,1.167,-22.500,-97.378,-56.829
1567421419259,2019-09-02T03:50:19.259,1.211,-18.049,-97.622,-57.744
1567421419259,2019-09-02T03:50:19.259,1.211,-12.744,-88.902,-57.134
1567421419259,2019-09-02T03:50:19.259,1.211,-6.159,-75.854,-54.878
1567421419301,2019-09-02T03:50:19.301,1.253,1.524,-60.610,-49.573
1567421419301,2019-09-02T03:50:19.301,1.253,8.415,-42.012,-41.341
1567421419301,2019-09-02T03:50:19.301,1.253,11.768,-20.000,-31.402
1567421419345,2019-09-02T03:50:19.345,1.297,14.146,1.402,-21.524
1567421419345,2019-09-02T03:50:19.345,1.297,18.659,13.232,-11.585
1567421419345,2019-09-02T03:50:19.345,1.297,23.049,13.354,-1.707
1567421419388,2019-09-02T03:50:19.388,1.340,27.317,8.354,7.256
1567421419388,2019-09-02T03:50:19.388,1.340,33.110,6.890,17.195
1567421419388,2019-09-02T03:50:19.388,1.340,41.402,13.110,30.488
1567421419425,2019-09-02T03:50:19.425,1.377,49.512,28.415,48.171
1567421419425,2019-09-02T03:50:19.425,1.377,51.463,51.463,69.390
1567421419425,2019-09-02T03:50:19.425,1.377,46.341,71.280,92.866
1567421419462,2019-09-02T03:50:19.462,1.414,37.500,75.183,116.098
1567421419462,2019-09-02T03:50:19.462,1.414,28.598,62.866,136.768
1567421419462,2019-09-02T03:50:19.462,1.414,22.012,40.915,153.354
1567421419508,2019-09-02T03:50:19.508,1.460,17.683,16.524,165.061
1567421419508,2019-09-02T03:50:19.508,1.460,15.305,-5.000,170.122
1567421419508,2019-09-02T03:50:19.508,1.460,17.195,-21.707,169.573
1567421419591,2019-09-02T03:50:19.591,1.543,24.756,-33.110,166.098
1567421419591,2019-09-02T03:50:19.591,1.543,37.195,-37.988,161.951
1567421419591,2019-09-02T03:50:19.591,1.543,45.793,-30.427,154.146
1567421419618,2019-09-02T03:50:19.618,1.570,48.659,-8.963,143.171
1567421419618,2019-09-02T03:50:19.618,1.570,46.280,20.000,132.805
1567421419618,2019-09-02T03:50:19.618,1.570,37.073,43.902,121.951
1567421419676,2019-09-02T03:50:19.676,1.628,24.695,53.354,107.073
1567421419676,2019-09-02T03:50:19.676,1.628,12.805,50.854,87.073
1567421419676,2019-09-02T03:50:19.676,1.628,3.902,40.793,61.646
1567421419701,2019-09-02T03:50:19.701,1.653,-1.098,24.939,32.134
1567421419701,2019-09-02T03:50:19.701,1.653,-5.122,8.537,1.585
1567421419701,2019-09-02T03:50:19.701,1.653,-10.366,-1.890,-28.780
1567421419757,2019-09-02T03:50:19.757,1.709,-17.561,-4.329,-58.720
1567421419757,2019-09-02T03:50:19.757,1.709,-25.610,-1.341,-86.951
1567421419757,2019-09-02T03:50:19.757,1.709,-33.354,3.293,-112.317
1567421419776,2019-09-02T03:50:19.776,1.728,-40.915,8.232,-135.488
1567421419776,2019-09-02T03:50:19.776,1.728,-49.451,14.024,-156.890
1567421419776,2019-09-02T03:50:19.776,1.728,-58.354,19.573,-176.951
1567421419811,2019-09-02T03:50:19.811,1.763,-62.622,26.585,-193.415
1567421419811,2019-09-02T03:50:19.811,1.763,-59.756,40.915,-201.524
1567421419811,2019-09-02T03:50:19.811,1.763,-53.902,63.598,-196.829
1567421419858,2019-09-02T03:50:19.858,1.810,-44.817,81.159,-180.610
1567421419858,2019-09-02T03:50:19.858,1.810,-36.159,79.085,-160.183
1567421419858,2019-09-02T03:50:19.858,1.810,-31.951,57.134,-140.061
1567421419882,2019-09-02T03:50:19.882,1.834,-27.012,21.098,-120.610
1567421419882,2019-09-02T03:50:19.882,1.834,-24.024,-20.732,-103.902
1567421419882,2019-09-02T03:50:19.882,1.834,-23.354,-48.476,-86.890
1567421419928,2019-09-02T03:50:19.928,1.880,-21.890,-54.146,-66.220
1567421419928,2019-09-02T03:50:19.928,1.880,-19.573,-47.500,-39.939
1567421419928,2019-09-02T03:50:19.928,1.880,-17.927,-28.476,-11.463
1567421419952,2019-09-02T03:50:19.952,1.904,-19.817,-1.159,14.512
1567421419952,2019-09-02T03:50:19.952,1.904,-23.841,16.524,33.049
1567421419952,2019-09-02T03:50:19.952,1.904,-25.366,9.329,43.171
1567421419987,2019-09-02T03:50:19.987,1.939,-21.585,-21.463,45.732
1567421419987,2019-09-02T03:50:19.987,1.939,-14.329,-59.024,41.037
1567421419987,2019-09-02T03:50:19.987,1.939,-6.341,-89.634,30.244
1567421420019,2019-09-02T03:50:20.019,1.971,6.524,-106.890,17.744
1567421420019,2019-09-02T03:50:20.019,1.971,26.463,-108.476,11.951
1567421420019,2019-09-02T03:50:20.019,1.971,47.622,-98.537,16.280
