epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567419932334,2019-09-02T03:25:32.334,0.000,-0.819,-0.178,0.401
1567419932334,2019-09-02T03:25:32.334,0.000,-0.852,-0.150,0.411
1567419932334,2019-09-02T03:25:32.334,0.000,-0.932,-0.108,0.387
1567419932401,2019-09-02T03:25:32.401,0.067,-0.922,-0.113,0.365
1567419932401,2019-09-02T03:25:32.401,0.067,-0.907,-0.125,0.356
1567419932401,2019-09-02T03:25:32.401,0.067,-0.860,-0.134,0.375
1567419932446,2019-09-02T03:25:32.446,0.112,-0.924,-0.103,0.368
1567419932446,2019-09-02T03:25:32.446,0.112,-0.921,-0.128,0.357
1567419932446,2019-09-02T03:25:32.446,0.112,-0.896,-0.146,0.350
1567419932496,2019-09-02T03:25:32.496,0.162,-0.880,-0.151,0.342
1567419932496,2019-09-02T03:25:32.496,0.162,-0.854,-0.144,0.357
1567419932496,2019-09-02T03:25:32.496,0.162,-0.929,-0.119,0.335
1567419932535,2019-09-02T03:25:32.535,0.201,-0.918,-0.131,0.326
1567419932535,2019-09-02T03:25:32.535,0.201,-0.903,-0.136,0.326
1567419932535,2019-09-02T03:25:32.535,0.201,-0.899,-0.127,0.324
1567419932574,2019-09-02T03:25:32.574,0.240,-0.910,-0.114,0.323
1567419932574,2019-09-02T03:25:32.574,0.240,-0.920,-0.119,0.313
1567419932574,2019-09-02T03:25:32.574,0.240,-0.913,-0.125,0.308
1567419932613,2019-09-02T03:25:32.613,0.279,-0.905,-0.119,0.302
1567419932613,2019-09-02T03:25:32.613,0.279,-0.924,-0.103,0.292
1567419932613,2019-09-02T03:25:32.613,0.279,-0.939,-0.104,0.288
1567419932653,2019-09-02T03:25:32.653,0.319,-0.940,-0.100,0.289
1567419932653,2019-09-02T03:25:32.653,0.319,-0.936,-0.096,0.286
1567419932653,2019-09-02T03:25:32.653,0.319,-0.937,-0.090,0.281
1567419932682,2019-09-02T03:25:32.682,0.348,-0.948,-0.082,0.281
1567419932682,2019-09-02T03:25:32.682,0.348,-0.958,-0.085,0.282
1567419932682,2019-09-02T03:25:32.682,0.348,-0.941,-0.104,0.284
1567419932732,2019-09-02T03:25:32.732,0.398,-0.933,-0.122,0.275
1567419932732,2019-09-02T03:25:32.732,0.398,-0.968,-0.108,0.274
1567419932732,2019-09-02T03:25:32.732,0.398,-0.966,-0.094,0.287
1567419932770,2019-09-02T03:25:32.770,0.436,-0.905,-0.122,0.313
1567419932770,2019-09-02T03:25:32.770,0.436,-0.865,-0.165,0.316
1567419932770,2019-09-02T03:25:32.770,0.436,-0.870,-0.178,0.330
1567419932815,2019-09-02T03:25:32.815,0.481,-0.857,-0.161,0.364
1567419932815,2019-09-02T03:25:32.815,0.481,-0.882,-0.152,0.350
1567419932815,2019-09-02T03:25:32.815,0.481,-0.890,-0.149,0.332
1567419932866,2019-09-02T03:25:32.866,0.532,-0.891,-0.157,0.353
1567419932866,2019-09-02T03:25:32.866,0.532,-0.950,-0.130,0.319
1567419932866,2019-09-02T03:25:32.866,0.532,-0.927,-0.143,0.347
1567419932927,2019-09-02T03:25:32.927,0.593,-0.916,-0.169,0.372
1567419932927,2019-09-02T03:25:32.927,0.593,-0.933,-0.155,0.357
1567419932927,2019-09-02T03:25:32.927,0.593,-0.940,-0.196,0.212
1567419932969,2019-09-02T03:25:32.969,0.635,-0.926,-0.261,0.276
1567419932969,2019-09-02T03:25:32.969,0.635,-1.025,-0.266,0.297
1567419932969,2019-09-02T03:25:32.969,0.635,-0.988,-0.270,0.345
1567419933028,2019-09-02T03:25:33.028,0.694,-0.900,-0.289,0.428
1567419933028,2019-09-02T03:25:33.028,0.694,-1.011,-0.189,0.303
1567419933028,2019-09-02T03:25:33.028,0.694,-0.962,-0.169,0.259
1567419933068,2019-09-02T03:25:33.068,0.734,-0.973,-0.204,0.277
1567419933068,2019-09-02T03:25:33.068,0.734,-0.981,-0.199,0.125
1567419933068,2019-09-02T03:25:33.068,0.734,-0.932,-0.182,-0.094
1567419933096,2019-09-02T03:25:33.096,0.762,-0.837,-0.161,-0.260
1567419933096,2019-09-02T03:25:33.096,0.762,-0.867,-0.091,-0.368
1567419933096,2019-09-02T03:25:33.096,0.762,-0.811,-0.017,-0.508
