epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567418727947,2019-09-02T03:05:27.947,0.000,-0.744,-0.128,0.693
1567418727947,2019-09-02T03:05:27.947,0.000,-0.737,-0.128,0.696
1567418727947,2019-09-02T03:05:27.947,0.000,-0.738,-0.127,0.694
1567418728059,2019-09-02T03:05:28.059,0.112,-0.744,-0.127,0.695
1567418728059,2019-09-02T03:05:28.059,0.112,-0.745,-0.126,0.697
1567418728059,2019-09-02T03:05:28.059,0.112,-0.741,-0.131,0.698
1567418728112,2019-09-02T03:05:28.112,0.165,-0.735,-0.132,0.701
1567418728112,2019-09-02T03:05:28.112,0.165,-0.729,-0.126,0.694
1567418728112,2019-09-02T03:05:28.112,0.165,-0.746,-0.125,0.692
1567418728184,2019-09-02T03:05:28.184,0.237,-0.748,-0.125,0.689
1567418728184,2019-09-02T03:05:28.184,0.237,-0.740,-0.127,0.695
1567418728184,2019-09-02T03:05:28.184,0.237,-0.739,-0.131,0.692
1567418728204,2019-09-02T03:05:28.204,0.257,-0.744,-0.129,0.693
1567418728204,2019-09-02T03:05:28.204,0.257,-0.743,-0.126,0.693
1567418728204,2019-09-02T03:05:28.204,0.257,-0.741,-0.125,0.696
1567418728243,2019-09-02T03:05:28.243,0.296,-0.747,-0.125,0.695
1567418728243,2019-09-02T03:05:28.243,0.296,-0.742,-0.125,0.698
1567418728243,2019-09-02T03:05:28.243,0.296,-0.737,-0.126,0.700
1567418728280,2019-09-02T03:05:28.280,0.333,-0.735,-0.130,0.701
1567418728280,2019-09-02T03:05:28.280,0.333,-0.742,-0.127,0.696
1567418728280,2019-09-02T03:05:28.280,0.333,-0.748,-0.124,0.693
1567418728325,2019-09-02T03:05:28.325,0.378,-0.745,-0.125,0.690
1567418728325,2019-09-02T03:05:28.325,0.378,-0.744,-0.128,0.694
1567418728325,2019-09-02T03:05:28.325,0.378,-0.737,-0.127,0.697
1567418728371,2019-09-02T03:05:28.371,0.424,-0.739,-0.124,0.700
1567418728371,2019-09-02T03:05:28.371,0.424,-0.743,-0.121,0.697
1567418728371,2019-09-02T03:05:28.371,0.424,-0.750,-0.124,0.701
1567418728422,2019-09-02T03:05:28.422,0.475,-0.747,-0.130,0.704
1567418728422,2019-09-02T03:05:28.422,0.475,-0.743,-0.138,0.728
1567418728422,2019-09-02T03:05:28.422,0.475,-0.750,-0.136,0.776
1567418728463,2019-09-02T03:05:28.463,0.516,-0.707,-0.157,0.810
1567418728463,2019-09-02T03:05:28.463,0.516,-0.620,-0.169,0.779
1567418728463,2019-09-02T03:05:28.463,0.516,-0.539,-0.235,0.811
1567418728495,2019-09-02T03:05:28.495,0.548,-0.915,-0.360,0.895
