epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567419932368,2019-09-02T03:25:32.368,0.000,-6.463,16.951,11.768
1567419932368,2019-09-02T03:25:32.368,0.000,-5.915,22.012,11.951
1567419932368,2019-09-02T03:25:32.368,0.000,-8.110,18.110,8.537
1567419932414,2019-09-02T03:25:32.414,0.046,-10.549,13.171,6.220
1567419932414,2019-09-02T03:25:32.414,0.046,-11.951,9.878,6.707
1567419932414,2019-09-02T03:25:32.414,0.046,-11.341,13.415,6.098
1567419932477,2019-09-02T03:25:32.477,0.109,-12.744,11.585,3.841
1567419932477,2019-09-02T03:25:32.477,0.109,-13.110,7.744,4.390
1567419932477,2019-09-02T03:25:32.477,0.109,-12.988,7.744,6.707
1567419932515,2019-09-02T03:25:32.515,0.147,-11.646,11.646,8.415
1567419932515,2019-09-02T03:25:32.515,0.147,-10.183,18.171,8.963
1567419932515,2019-09-02T03:25:32.515,0.147,-11.037,16.829,8.232
1567419932554,2019-09-02T03:25:32.554,0.186,-11.098,14.573,8.902
1567419932554,2019-09-02T03:25:32.554,0.186,-10.671,14.268,10.305
1567419932554,2019-09-02T03:25:32.554,0.186,-9.939,15.244,10.610
1567419932594,2019-09-02T03:25:32.594,0.226,-9.268,15.305,9.329
1567419932594,2019-09-02T03:25:32.594,0.226,-9.268,13.780,9.573
1567419932594,2019-09-02T03:25:32.594,0.226,-9.512,13.659,10.854
1567419932632,2019-09-02T03:25:32.632,0.264,-10.061,14.390,10.915
1567419932632,2019-09-02T03:25:32.632,0.264,-10.671,13.293,8.963
1567419932632,2019-09-02T03:25:32.632,0.264,-11.768,10.427,7.500
1567419932673,2019-09-02T03:25:32.673,0.305,-13.841,6.585,6.341
1567419932673,2019-09-02T03:25:32.673,0.305,-16.402,3.537,5.000
1567419932673,2019-09-02T03:25:32.673,0.305,-19.268,0.488,3.171
1567419932713,2019-09-02T03:25:32.713,0.345,-22.866,-4.451,0.854
1567419932713,2019-09-02T03:25:32.713,0.345,-26.159,-10.732,-0.671
1567419932713,2019-09-02T03:25:32.713,0.345,-27.256,-15.427,-0.122
1567419932751,2019-09-02T03:25:32.751,0.383,-25.915,-20.671,0.061
1567419932751,2019-09-02T03:25:32.751,0.383,-25.549,-29.634,-2.561
1567419932751,2019-09-02T03:25:32.751,0.383,-26.585,-36.768,-4.573
1567419932796,2019-09-02T03:25:32.796,0.428,-25.244,-31.463,-1.829
1567419932796,2019-09-02T03:25:32.796,0.428,-24.451,-22.561,0.488
1567419932796,2019-09-02T03:25:32.796,0.428,-24.146,-11.829,2.622
1567419932847,2019-09-02T03:25:32.847,0.479,-24.573,0.061,6.463
1567419932847,2019-09-02T03:25:32.847,0.479,-21.098,3.841,7.500
1567419932847,2019-09-02T03:25:32.847,0.479,-18.415,6.585,7.683
1567419932904,2019-09-02T03:25:32.904,0.536,-21.280,12.622,12.134
1567419932904,2019-09-02T03:25:32.904,0.536,-20.549,5.488,13.415
1567419932904,2019-09-02T03:25:32.904,0.536,-17.256,2.561,12.988
1567419932948,2019-09-02T03:25:32.948,0.580,-10.854,4.146,13.110
1567419932948,2019-09-02T03:25:32.948,0.580,-12.622,-0.732,13.720
1567419932948,2019-09-02T03:25:32.948,0.580,-7.622,-15.305,17.439
1567419932981,2019-09-02T03:25:32.981,0.613,-0.549,-24.512,30.488
1567419932981,2019-09-02T03:25:32.981,0.613,3.171,-22.927,45.732
1567419932981,2019-09-02T03:25:32.981,0.613,9.695,15.000,56.159
1567419933048,2019-09-02T03:25:33.048,0.680,15.732,90.488,66.159
1567419933048,2019-09-02T03:25:33.048,0.680,18.841,143.293,77.622
1567419933048,2019-09-02T03:25:33.048,0.680,18.963,185.000,87.866
1567419933087,2019-09-02T03:25:33.087,0.719,17.927,247.805,100.549
1567419933087,2019-09-02T03:25:33.087,0.719,16.402,314.573,109.573
1567419933087,2019-09-02T03:25:33.087,0.719,7.927,357.805,110.793
1567419933124,2019-09-02T03:25:33.124,0.756,-11.768,346.463,103.780
1567419933124,2019-09-02T03:25:33.124,0.756,-34.878,294.817,85.305
1567419933124,2019-09-02T03:25:33.124,0.756,-59.268,242.256,61.524
1567419933177,2019-09-02T03:25:33.177,0.809,-80.549,197.439,34.634
1567419933177,2019-09-02T03:25:33.177,0.809,-95.366,136.829,7.561
1567419933177,2019-09-02T03:25:33.177,0.809,-101.707,82.805,-14.939
1567419933250,2019-09-02T03:25:33.250,0.882,-103.902,34.268,-35.488
1567419933250,2019-09-02T03:25:33.250,0.882,-107.317,-17.439,-51.402
1567419933250,2019-09-02T03:25:33.250,0.882,-110.793,-66.341,-56.402
1567419933295,2019-09-02T03:25:33.295,0.927,-110.366,-93.841,-51.280
1567419933295,2019-09-02T03:25:33.295,0.927,-106.280,-106.463,-48.598
1567419933295,2019-09-02T03:25:33.295,0.927,-103.963,-125.671,-51.037
1567419933339,2019-09-02T03:25:33.339,0.971,-99.329,-136.463,-47.622
1567419933339,2019-09-02T03:25:33.339,0.971,-90.183,-122.988,-36.159
1567419933339,2019-09-02T03:25:33.339,0.971,-80.427,-94.085,-27.012
1567419933369,2019-09-02T03:25:33.369,1.001,-75.427,-87.927,-26.646
1567419933369,2019-09-02T03:25:33.369,1.001,-70.549,-102.866,-29.573
1567419933369,2019-09-02T03:25:33.369,1.001,-67.134,-111.646,-27.195
1567419933409,2019-09-02T03:25:33.409,1.041,-60.793,-88.476,-18.963
1567419933409,2019-09-02T03:25:33.409,1.041,-54.756,-43.598,-14.451
1567419933409,2019-09-02T03:25:33.409,1.041,-49.146,-11.280,-16.159
1567419933448,2019-09-02T03:25:33.448,1.080,-46.829,-2.012,-20.732
1567419933448,2019-09-02T03:25:33.448,1.080,-46.829,-24.390,-23.293
1567419933448,2019-09-02T03:25:33.448,1.080,-47.622,-57.073,-23.902
1567419933488,2019-09-02T03:25:33.488,1.120,-49.695,-58.110,-17.927
1567419933488,2019-09-02T03:25:33.488,1.120,-43.354,-32.988,-12.317
1567419933488,2019-09-02T03:25:33.488,1.120,-33.110,-14.329,-11.463
1567419933549,2019-09-02T03:25:33.549,1.181,-25.061,0.732,-9.146
1567419933549,2019-09-02T03:25:33.549,1.181,-18.110,7.073,-6.402
1567419933549,2019-09-02T03:25:33.549,1.181,-8.963,-0.610,-3.476
1567419933591,2019-09-02T03:25:33.591,1.223,7.683,-17.439,0.244
1567419933591,2019-09-02T03:25:33.591,1.223,31.402,-47.988,3.171
1567419933591,2019-09-02T03:25:33.591,1.223,62.378,-76.707,4.878
1567419933648,2019-09-02T03:25:33.648,1.280,77.683,-44.695,11.890
1567419933648,2019-09-02T03:25:33.648,1.280,82.683,-35.610,35.488
1567419933648,2019-09-02T03:25:33.648,1.280,72.744,-128.110,39.390
1567419933688,2019-09-02T03:25:33.688,1.320,65.610,-182.866,23.049
1567419933688,2019-09-02T03:25:33.688,1.320,60.915,-160.854,2.134
1567419933688,2019-09-02T03:25:33.688,1.320,53.171,-87.805,-8.354
1567419933721,2019-09-02T03:25:33.721,1.353,44.451,13.720,-19.939
1567419933721,2019-09-02T03:25:33.721,1.353,40.427,103.415,-29.146
1567419933721,2019-09-02T03:25:33.721,1.353,32.134,123.171,-38.415
1567419933791,2019-09-02T03:25:33.791,1.423,15.244,97.988,-47.378
1567419933791,2019-09-02T03:25:33.791,1.423,-1.159,92.622,-50.366
1567419933791,2019-09-02T03:25:33.791,1.423,-5.671,94.634,-54.695
1567419933828,2019-09-02T03:25:33.828,1.460,-5.732,62.988,-59.024
1567419933828,2019-09-02T03:25:33.828,1.460,-7.195,41.768,-53.415
1567419933828,2019-09-02T03:25:33.828,1.460,-9.939,80.610,-34.024
1567419933865,2019-09-02T03:25:33.865,1.497,-9.634,117.317,-12.866
1567419933865,2019-09-02T03:25:33.865,1.497,-10.915,92.927,-1.402
1567419933865,2019-09-02T03:25:33.865,1.497,-13.476,74.878,-2.439
1567419933902,2019-09-02T03:25:33.902,1.534,-14.024,84.085,-2.378
1567419933902,2019-09-02T03:25:33.902,1.534,-10.488,109.695,-6.280
