epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567420310091,2019-09-02T03:31:50.091,0.000,0.305,-3.537,-1.280
1567420310091,2019-09-02T03:31:50.091,0.000,0.183,-3.415,-1.098
1567420310091,2019-09-02T03:31:50.091,0.000,-0.122,-4.024,-1.280
1567420310179,2019-09-02T03:31:50.179,0.088,-0.122,-4.024,-1.341
1567420310179,2019-09-02T03:31:50.179,0.088,-0.488,-4.634,-1.341
1567420310179,2019-09-02T03:31:50.179,0.088,-0.488,-5.000,-1.402
1567420310256,2019-09-02T03:31:50.256,0.165,-0.732,-5.427,-1.524
1567420310256,2019-09-02T03:31:50.256,0.165,-0.854,-5.427,-1.524
1567420310256,2019-09-02T03:31:50.256,0.165,-0.854,-5.427,-1.463
1567420310310,2019-09-02T03:31:50.310,0.219,-0.610,-4.817,-1.463
1567420310310,2019-09-02T03:31:50.310,0.219,-0.549,-4.146,-1.220
1567420310310,2019-09-02T03:31:50.310,0.219,-0.915,-4.451,-1.280
1567420310353,2019-09-02T03:31:50.353,0.262,-1.159,-4.756,-1.280
1567420310353,2019-09-02T03:31:50.353,0.262,-1.220,-4.878,-1.098
1567420310353,2019-09-02T03:31:50.353,0.262,-1.280,-4.939,-1.037
1567420310396,2019-09-02T03:31:50.396,0.305,-0.976,-4.817,-0.793
1567420310396,2019-09-02T03:31:50.396,0.305,-0.610,-4.512,-0.732
1567420310396,2019-09-02T03:31:50.396,0.305,-0.122,-4.329,-0.610
1567420310428,2019-09-02T03:31:50.428,0.337,0.061,-4.512,-0.366
1567420310428,2019-09-02T03:31:50.428,0.337,0.122,-4.939,-0.244
1567420310428,2019-09-02T03:31:50.428,0.337,0.244,-5.183,0.549
1567420310484,2019-09-02T03:31:50.484,0.393,0.427,-6.341,1.159
1567420310484,2019-09-02T03:31:50.484,0.393,1.463,-8.415,2.195
1567420310484,2019-09-02T03:31:50.484,0.393,4.207,-13.049,3.659
1567420310526,2019-09-02T03:31:50.526,0.435,11.341,-19.329,4.512
