x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
1.0,2.0,3.0,4.0,5.0,6.0,1
0.2811,0.1274,0.9778,-3.9024,-1.8293,4.2073,1
0.2809,0.1324,0.9744,-2.8659,-2.6829,3.8415,1
0.287,0.1294,0.9727,-3.1707,-2.6829,3.7805,1
0.2906,0.1288,0.9706,-3.5976,-2.5,3.9024,1
0.2787,0.1307,0.9734,-3.5976,-1.8293,3.9634,1
0.2783,0.1282,0.9693,-3.4756,-1.6463,3.9634,1
0.2871,0.1304,0.9669,-2.9268,-1.7683,3.9634,1
0.301,0.1235,0.9672,-2.9268,-1.3415,3.9024,1
0.2981,0.1326,0.9737,-3.1098,-0.1829,3.1098,1
0.2754,0.1312,0.9753,-3.9634,1.0976,1.9512,1
0.2431,0.1256,0.9698,-5.4268,1.4024,1.2195,1
0.2336,0.1234,0.9740000000000001,-5.8537,0.7317,1.3415,1
0.2627,0.1317,0.9774,-5.0,-1.8293,2.0122,1
0.2764,0.136,0.9667,-4.878,-5.3659,1.4634,1
0.28800000000000003,0.1273,0.9721,-5.9146,-6.8293,1.4024,1
0.2914,0.1298,0.9711,-6.5854,-7.561,1.6463,1
0.2968,0.133,0.9669,-7.0732,-7.3171,1.7073,1
0.3035,0.1196,0.9703,-9.2073,-6.0976,1.3415,1
0.2961,0.1171,0.9726,-10.9756,-4.3902,1.2805,1
0.2974,0.1188,0.9705,-11.5244,-2.8659,1.2805,1
0.3005,0.111,0.9709,-12.3171,-2.2561,0.9756,1
0.2964,0.1088,0.9739,-12.7439,-1.0976,0.9756,1
0.2879,0.1105,0.9756,-13.1098,-0.2439,1.0366,1
0.2719,0.1,0.968,-13.9024,0.0,1.3415,1
0.2759,0.0893,0.9717,-14.2683,0.0,1.8293,1
0.2906,0.0956,0.9742,-13.4146,-0.9146,2.3171,1
0.2961,0.1027,0.9799,-12.8659,-1.6463,2.1951,1
0.3089,0.1028,0.9816,-14.2073,-1.7683,2.3171,1
0.313,0.0876,0.9761,-16.5854,-1.7073,2.5610000000000004,1
0.3196,0.0877,0.9781,-18.4756,-0.7317,2.7439,1
0.3054,0.1049,0.9706,-16.7073,1.3415,3.2317,1
0.2745,0.1088,0.9727,-15.6707,3.6585,3.4756,1
0.2683,0.1202,0.9747,-15.9146,4.878,4.0854,1
0.2825,0.1343,0.9758,-16.8293,3.9024,5.2439,1
0.2811,0.1202,0.97,-20.3049,2.0732,7.622000000000001,1
0.2756,0.1027,0.9694,-24.3902,2.0732,11.4024,1
0.3066,0.0884,0.9722,-25.7317,1.7683,15.9756,1
0.3071,0.087,0.9714,-26.5854,1.2195,19.6951,1
0.2921,0.0958,0.9681,-27.9268,2.5610000000000004,21.4634,1
0.2961,0.0671,0.9666,-30.6707,3.1098,24.1463,1
0.3019,0.0594,0.963,-32.378,3.5366,26.0976,1
0.2921,0.0552,0.9613,-33.1707,4.0244,27.378,1
0.2797,0.051,0.9726,-34.939,3.8415,28.3537,1
0.2642,0.0214,0.9675,-37.3171,3.1098,28.4146,1
0.2641,-0.0146,0.9759,-40.6098,1.3415,27.9268,1
0.2714,-0.0201,0.9921,-40.2439,-0.6098,27.8659,1
0.2936,-0.0179,0.9901,-38.4756,-2.1341,26.4634,1
0.2963,-0.0332,0.9859,-38.5366,-3.8415,24.3293,1
0.3007,-0.0551,0.988,-38.9024,-4.6951,22.9878,1
0.3047,-0.0493,0.9786,-37.561,-4.4512,20.8537,1
0.2987,-0.0613,0.9769,-36.7683,-4.5732,18.1098,1
0.2831,-0.0757,0.9791,-36.1585,-4.6341,15.122,1
0.2803,-0.0791,0.982,-34.0244,-4.4512,12.378,1
0.2996,-0.0984,0.9805,-33.3537,-4.939,8.0488,1
0.3029,-0.1043,0.9892,-32.0732,-4.8171,3.5976,1
0.306,-0.0948,0.9883,-28.9634,-3.5976,0.4268,1
0.3049,-0.0956,0.9804,-25.7317,-2.9268,-2.378,1
0.2967,-0.0951,0.9794,-22.6829,-2.622,-4.3293,1
0.2844,-0.09,0.9796,-19.3902,-2.6829,-5.9146,1
0.2703,-0.0818,0.977,-16.4634,-3.4146,-7.7439,1
0.2645,-0.0721,0.9828,-13.9024,-5.1829,-9.1463,1
0.2694,-0.052000000000000005,0.9858,-12.8659,-8.1098,-10.4268,1
0.2871,-0.0822,0.9792,-15.2439,-11.4024,-11.4024,1
0.3145,-0.1058,0.9825,-17.8659,-13.1707,-11.2195,1
0.3248,-0.0919,0.9825,-15.2439,-13.5976,-10.0,1
0.3212,-0.075,0.9797,-12.6829,-12.9878,-9.8171,1
0.3143,-0.1006,0.9735,-12.622,-12.0732,-9.6341,1
0.3076,-0.1124,0.9762,-12.8049,-10.9756,-9.1463,1
0.3082,-0.105,0.9777,-9.8171,-10.4878,-8.6585,1
0.3196,-0.0976,0.9713,-5.9756,-10.6098,-8.4756,1
0.3148,-0.0937,0.9719,-3.0488,-11.0976,-8.0488,1
0.3126,-0.0825,0.975,-1.4024,-11.7073,-7.8659,1
0.3152,-0.0858,0.9761,-1.0976,-13.0488,-7.561,1
0.3215,-0.0917,0.9689,-2.1341,-14.5122,-7.1951,1
0.3259,-0.0798,0.9665,-1.1585,-15.6098,-6.3415,1
0.3453,-0.0809,0.9628,-0.3659,-16.4024,-5.8537,1
0.3573,-0.0749,0.9607,-0.3049,-16.4634,-5.5488,1
0.3577,-0.0634,0.9611,0.122,-15.7927,-4.7561,1
0.3569,-0.0634,0.9619,-0.6098,-14.3293,-3.4756,1
0.3575,-0.0626,0.9653,-1.7073,-12.8659,-1.8293,1
0.3503,-0.0629,0.9659,-3.0488,-11.5854,-0.1829,1
0.3514,-0.0635,0.9639,-4.4512,-10.6098,1.8293,1
0.3571,-0.0517,0.9639,-5.0,-10.3049,4.2683,1
0.36,-0.0505,0.9573,-6.7073,-10.4878,6.7073,1
0.3619,-0.0496,0.9589,-10.0,-10.6707,8.7805,1
0.3634,-0.0626,0.9579,-13.4756,-10.7927,11.0976,1
0.3692,-0.0814,0.9589,-17.9268,-10.7927,12.439,1
0.361,-0.0824,0.9572,-19.939,-10.6098,13.9024,1
0.3602,-0.1002,0.9503,-21.8293,-10.6707,14.878,1
0.3587,-0.1082,0.9542,-23.4756,-11.1585,15.061,1
0.3568,-0.1066,0.9544,-23.9024,-11.9512,15.061,1
0.3558,-0.1071,0.9513,-24.6951,-13.4146,14.7561,1
0.3599,-0.1262,0.9465,-26.5244,-15.3659,13.9634,1
0.368,-0.1324,0.9529,-28.2927,-17.2561,13.7805,1
0.3781,-0.145,0.9458,-29.0854,-18.4146,13.4146,1
0.3817,-0.1633,0.948,-30.4878,-18.5366,12.2561,1
0.3787,-0.1724,0.9501,-29.6341,-18.5976,10.9756,1
0.3776,-0.1769,0.9523,-28.2317,-18.5976,10.0,1
0.3804,-0.1863,0.9437,-27.439,-18.7195,8.9634,1
0.3811,-0.1886,0.9391,-25.6098,-18.7805,8.1707,1
0.3865,-0.2083,0.937,-24.6341,-19.5122,7.2561,1
0.39299999999999996,-0.2207,0.9421,-23.5976,-19.6341,5.1829,1
0.4026,-0.2316,0.9398,-21.2195,-19.1463,3.1707,1
0.4073,-0.2333,0.9412,-18.0488,-18.9024,1.4634,1
0.4127,-0.2318,0.9341,-13.4146,-18.6585,-0.1829,1
0.4114,-0.2237,0.9381,-8.7805,-18.2927,-1.8293,1
0.4248,-0.2114,0.941,-3.6585,-17.439,-2.439,1
0.439,-0.2047,0.9412,0.6707,-15.6707,-2.439,1
0.4474,-0.2101,0.9465,4.3293,-13.4756,-1.5244,1
0.4618,-0.2028,0.9427,8.7195,-10.4268,0.0,1
0.4678,-0.1633,0.9315,14.1463,-6.4634,2.5610000000000004,1
0.4501,-0.1451,0.9332,16.7073,-2.6829,4.7561,1
0.435,-0.1639,0.9443,14.0244,-2.378,5.9146,1
0.4235,-0.1732,0.9475,10.6098,-5.9146,6.9512,1
0.4115,-0.16,0.9365,9.3902,-11.0976,8.7195,1
0.4518,-0.1627,0.9481,8.2927,-19.1463,12.1951,1
0.5184,-0.1619,0.9527,5.6707,-27.9268,15.7927,1
0.4531,-0.1999,0.855,2.8659,-34.6341,19.7561,1
0.1794,-0.3557,0.6555,-1.4634,-40.4878,25.5488,1
0.9288,-0.1367,0.9081,3.3537,-91.2195,49.0854,1
1.0899,-0.1498,0.9736,9.4512,-160.061,62.9878,1
0.9348,-0.1205,0.9816,-2.9268,-147.439,43.0488,1
0.8408,-0.2444,0.9564,-10.7317,-122.3171,46.0976,1
0.8785,-0.2853,0.9328,-13.5366,-112.8659,47.0122,1
0.8727,-0.31,0.9126,-12.3171,-108.9634,47.622,1
0.8282,-0.3272,0.8981,-12.0122,-100.6098,52.43899999999999,1
0.7971,-0.358,0.8929,-13.5976,-95.061,60.3659,1
0.807,-0.3873,0.8883,-14.3293,-95.12200000000001,66.1585,1
0.8271,-0.4037,0.8628,-12.5,-97.2561,72.8049,1
0.8219,-0.40299999999999997,0.8276,-8.9634,-94.0244,78.6585,1
0.759,-0.3984,0.7733,-5.3049,-84.5122,83.5976,1
0.723,-0.4305,0.7372,-4.5122,-74.4512,88.0488,1
0.7159,-0.4267,0.7277,-0.4878,-66.1585,90.9146,1
0.6771,-0.4112,0.7177,6.0366,-59.0854,93.3537,1
0.609,-0.4167,0.6957,11.4634,-51.6463,94.6341,1
0.5414,-0.4219,0.6662,15.061,-45.7317,95.9756,1
0.5055,-0.426,0.6493,19.2073,-42.6829,96.4634,1
0.493,-0.3985,0.662,25.8537,-41.1585,94.6951,1
0.4746,-0.34700000000000003,0.6724,35.3659,-38.5366,90.8537,1
0.4639,-0.3644,0.6609,39.3902,-34.4512,86.3415,1
0.4651,-0.3679,0.637,41.1585,-27.439,81.9512,1
0.4199,-0.3452,0.6128,46.5244,-16.7683,75.9756,1
0.3643,-0.3124,0.6108,50.3049,-6.2195,68.2317,1
0.34700000000000003,-0.3089,0.6306,53.4756,-0.9756,62.56100000000001,1
0.3367,-0.3201,0.6729999999999999,59.0244,0.8537,54.7561,1
0.3466,-0.302,0.7018,66.0976,3.1098,47.0732,1
0.3685,-0.2431,0.7426,74.2683,8.5366,38.9024,1
0.4031,-0.1777,0.8029999999999999,81.0366,16.5244,26.6463,1
0.3666,-0.0961,0.8413,86.5854,26.7683,12.622,1
0.3199,-0.046,0.8157,85.12200000000001,36.8293,0.6098,1
0.345,-0.0336,0.8044,76.2805,41.6463,-8.2317,1
0.3403,-0.0049,0.8,71.8293,41.7073,-15.061,1
0.2699,0.0058,0.7904,67.561,46.3415,-21.4634,1
0.2096,0.017,0.7955,58.8415,52.7439,-25.9146,1
0.2111,0.0377,0.8416,49.4512,49.8171,-28.9024,1
0.2439,0.0391,0.9465,40.6098,35.061,-31.7073,1
0.3442,0.0699,1.0613,33.5976,14.6951,-35.4268,1
0.4241,0.0939,1.0967,31.7683,-1.5854,-40.5488,1
0.431,0.0692,1.0854,30.061,-8.9024,-47.43899999999999,1
0.5236,0.0534,1.08,28.5366,-13.9634,-52.0732,1
0.5901,0.0566,1.0585,32.439,-17.622,-56.8293,1
0.5829,0.0643,0.9890000000000001,35.2439,-13.8415,-62.622,1
0.5878,0.0354,0.9159999999999999,32.9878,-1.2805,-66.8293,1
